,Ano,Semana,Infectados
524,2016,48,3
525,2016,49,0
526,2016,50,2
527,2016,51,1
528,2016,52,4
529,2016,53,0
530,2017,1,0
531,2017,2,0
532,2017,3,0
533,2017,4,0
534,2017,5,0
535,2017,6,0
536,2017,7,1
537,2017,8,0
538,2017,9,0
539,2017,10,1
540,2017,11,0
541,2017,12,0
542,2017,13,0
543,2017,14,0
544,2017,15,0
545,2017,16,0
546,2017,17,1
547,2017,18,1
548,2017,19,1
549,2017,20,0
550,2017,21,0
551,2017,22,1
552,2017,23,0
553,2017,24,1
554,2017,25,0
555,2017,26,0
556,2017,27,0
557,2017,28,1
558,2017,29,0
559,2017,30,1
560,2017,31,0
561,2017,32,0
562,2017,33,0
563,2017,34,0
564,2017,35,0
565,2017,36,0
566,2017,37,0
567,2017,38,0
568,2017,39,0
569,2017,40,0
570,2017,41,0
571,2017,42,0
572,2017,43,0
573,2017,44,0
574,2017,45,0
575,2017,46,0
576,2017,47,0
577,2017,48,0
578,2017,49,0
579,2017,50,0
580,2017,51,0
581,2017,52,1
582,2017,53,0
583,2018,1,0
584,2018,2,0
585,2018,3,0
586,2018,4,0
587,2018,5,1
588,2018,6,0
589,2018,7,0
590,2018,8,0
591,2018,9,0
592,2018,10,0
593,2018,11,1
594,2018,12,0
595,2018,13,0
596,2018,14,0
597,2018,15,0
598,2018,16,0
599,2018,17,0
600,2018,18,0
601,2018,19,0
602,2018,20,0
603,2018,21,0
604,2018,22,0
605,2018,23,0
606,2018,24,0
607,2018,25,0
608,2018,26,0
609,2018,27,0
610,2018,28,0
611,2018,29,0
612,2018,30,0
613,2018,31,0
614,2018,32,0
615,2018,33,0
616,2018,34,0
617,2018,35,0
618,2018,36,0
619,2018,37,0
620,2018,38,1
621,2018,39,0
622,2018,40,0
623,2018,41,0
624,2018,42,0
625,2018,43,0
626,2018,44,0
627,2018,45,0
628,2018,46,0
629,2018,47,1
630,2018,48,0
631,2018,49,0
632,2018,50,0
633,2018,51,1
634,2018,52,0
635,2018,53,0
636,2019,1,0
637,2019,2,1
638,2019,3,0
639,2019,4,0
640,2019,5,0
641,2019,6,0
642,2019,7,1
643,2019,8,0
644,2019,9,0
645,2019,10,0
646,2019,11,1
647,2019,12,0
648,2019,13,0
649,2019,14,1
650,2019,15,0
651,2019,16,1
652,2019,17,0
653,2019,18,2
654,2019,19,0
655,2019,20,0
656,2019,21,2
657,2019,22,2
658,2019,23,0
659,2019,24,2
660,2019,25,2
661,2019,26,0
662,2019,27,0
663,2019,28,2
664,2019,29,0
665,2019,30,1
666,2019,31,1
667,2019,32,13
668,2019,33,16
669,2019,34,13
670,2019,35,7
671,2019,36,13
672,2019,37,6
673,2019,38,3
674,2019,39,2
675,2019,40,0
676,2019,41,2
677,2019,42,0
678,2019,43,0
679,2019,44,0
680,2019,45,0
681,2019,46,0
682,2019,47,0
683,2019,48,0
684,2019,49,0
685,2019,50,0
686,2019,51,0
687,2019,52,0
