Ano,Semana,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Infectados
2009,33,3.00,237.60,142.40,60.30,39.20,183.66,464.75,7.33,0
2009,34,0.00,247.40,138.80,71.60,61.30,187.18,451.75,16.43,0
2009,35,8.60,239.50,149.30,54.30,68.50,185.36,479.75,11.40,0
2009,36,0.00,252.40,140.60,72.40,84.10,191.22,412.25,14.97,0
2009,37,0.00,253.20,142.80,69.90,77.10,191.58,408.75,15.33,0
2009,38,0.00,255.50,157.00,61.80,65.60,195.80,438.50,21.00,1
2009,39,0.30,256.60,151.60,64.90,77.50,195.04,396.50,17.77,1
2009,40,0.00,259.70,149.20,75.00,90.10,198.22,377.00,24.73,0
2009,41,0.00,257.30,150.90,65.30,88.10,194.28,407.25,17.80,0
2009,42,0.00,256.60,147.10,64.80,65.30,193.70,408.25,16.98,1
2009,43,0.00,260.40,151.70,60.80,62.40,194.16,466.00,14.60,0
2009,44,0.00,220.80,127.20,46.00,50.42,166.60,354.50,18.07,0
2009,45,0.00,261.40,151.90,68.20,84.20,198.96,392.00,21.83,0
2009,46,0.00,258.90,158.20,61.50,83.40,199.04,406.25,22.67,0
2009,47,0.00,254.80,153.10,59.51,85.20,196.68,398.25,17.90,0
2009,48,0.00,258.70,147.50,66.90,84.20,196.60,395.75,22.83,0
2009,49,0.00,257.60,157.10,49.00,90.40,200.32,426.25,20.08,0
2009,50,0.70,257.00,156.90,54.00,85.30,200.34,470.00,24.25,0
2009,51,0.60,254.60,159.20,57.50,70.00,200.02,466.00,25.75,0
2009,52,0.00,256.50,164.80,49.20,76.70,203.82,428.00,24.00,2
2009,53,0.60,180.50,118.40,28.90,48.60,143.50,310.50,17.67,0
2010,1,0.40,65.20,48.00,3.90,14.10,54.00,139.25,3.70,0
2010,2,1.60,244.10,156.70,33.70,58.90,194.02,461.25,12.53,0
2010,3,10.70,249.80,157.50,46.70,55.60,196.56,437.00,12.63,2
2010,4,57.40,249.10,158.10,56.40,56.60,197.04,437.00,16.07,0
2010,5,104.60,238.90,162.10,48.30,34.80,190.44,531.75,12.53,0
