ds,exo
2014-02-20,0.0
2014-02-21,5.6
2014-02-22,0.4
2014-02-23,4.7
2014-02-24,12.3
2014-02-25,0.0
2014-02-26,5.5
2014-02-27,67.6
2014-02-28,3.1
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,46.8
2014-03-05,17.4
2014-03-06,0.3
2014-03-07,0.0
2014-03-08,0.8
2014-03-09,0.0
2014-03-10,0.0
2014-03-11,9.3
2014-03-12,6.1
2014-03-13,0.0
2014-03-14,4.1
2014-03-15,2.3
2014-03-16,7.4
2014-03-17,9.7
2014-03-18,14.3
2014-03-19,36.8
2014-03-20,25.6
2014-03-21,26.8
2014-03-22,0.7
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,27.6
2014-04-01,0.7
2014-04-02,0.4
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,40.6
2014-04-10,0.7
2014-04-11,0.0
2014-04-12,25.6
2014-04-13,15.3
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,17.0
2014-04-19,0.0
2014-04-20,1.3
2014-04-21,0.0
2014-04-22,16.7
2014-04-23,0.0
2014-04-24,1.3
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,17.8
2014-05-01,81.6
2014-05-02,0.3
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.8
2014-05-07,0.0
2014-05-08,3.2
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.5
2014-05-16,10.3
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.2
2014-05-21,0.3
2014-05-22,87.7
2014-05-23,0.9
2014-05-24,8.2
2014-05-25,0.0
2014-05-26,23.2
2014-05-27,0.6
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,29.4
2014-06-01,31.9
2014-06-02,0.5
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,5.3
2014-06-06,34.3
2014-06-07,5.9
2014-06-08,0.0
2014-06-09,26.4
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,15.6
2014-06-15,3.2
2014-06-16,0.2
2014-06-17,17.3
2014-06-18,5.5
2014-06-19,1.7
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
