Data_Notificacao,Infectados_Dengue,Semana,Ano
14/02/2008,66,7,2008
15/02/2008,108,7,2008
16/02/2008,48,7,2008
17/02/2008,57,8,2008
18/02/2008,191,8,2008
19/02/2008,150,8,2008
20/02/2008,134,8,2008
21/02/2008,94,8,2008
22/02/2008,109,8,2008
23/02/2008,85,8,2008
24/02/2008,50,9,2008
25/02/2008,190,9,2008
26/02/2008,160,9,2008
27/02/2008,155,9,2008
28/02/2008,173,9,2008
29/02/2008,121,9,2008
01/03/2008,42,9,2008
02/03/2008,30,10,2008
03/03/2008,221,10,2008
04/03/2008,184,10,2008
05/03/2008,182,10,2008
06/03/2008,102,10,2008
07/03/2008,129,10,2008
08/03/2008,60,10,2008
09/03/2008,66,11,2008
10/03/2008,238,11,2008
11/03/2008,163,11,2008
12/03/2008,193,11,2008
13/03/2008,176,11,2008
14/03/2008,232,11,2008
15/03/2008,69,11,2008
16/03/2008,60,12,2008
17/03/2008,252,12,2008
18/03/2008,228,12,2008
19/03/2008,137,12,2008
20/03/2008,109,12,2008
21/03/2008,109,12,2008
22/03/2008,102,12,2008
23/03/2008,74,13,2008
24/03/2008,385,13,2008
25/03/2008,328,13,2008
26/03/2008,336,13,2008
27/03/2008,267,13,2008
28/03/2008,355,13,2008
29/03/2008,303,13,2008
30/03/2008,316,14,2008
31/03/2008,514,14,2008
01/04/2008,611,14,2008
02/04/2008,414,14,2008
03/04/2008,491,14,2008
04/04/2008,577,14,2008
05/04/2008,426,14,2008
06/04/2008,385,15,2008
07/04/2008,652,15,2008
08/04/2008,700,15,2008
09/04/2008,875,15,2008
10/04/2008,859,15,2008
11/04/2008,632,15,2008
12/04/2008,411,15,2008
13/04/2008,409,16,2008
14/04/2008,890,16,2008
15/04/2008,892,16,2008
16/04/2008,934,16,2008
17/04/2008,974,16,2008
18/04/2008,888,16,2008
19/04/2008,708,16,2008
20/04/2008,483,17,2008
21/04/2008,571,17,2008
22/04/2008,1249,17,2008
23/04/2008,1057,17,2008
24/04/2008,1144,17,2008
25/04/2008,1155,17,2008
26/04/2008,574,17,2008
27/04/2008,489,18,2008
28/04/2008,1042,18,2008
29/04/2008,938,18,2008
30/04/2008,947,18,2008
01/05/2008,630,18,2008
02/05/2008,969,18,2008
03/05/2008,586,18,2008
04/05/2008,513,19,2008
05/05/2008,1050,19,2008
06/05/2008,880,19,2008
07/05/2008,892,19,2008
08/05/2008,799,19,2008
09/05/2008,821,19,2008
10/05/2008,660,19,2008
11/05/2008,385,20,2008
12/05/2008,836,20,2008
13/05/2008,800,20,2008
14/05/2008,798,20,2008
15/05/2008,857,20,2008
16/05/2008,715,20,2008
17/05/2008,554,20,2008
18/05/2008,598,21,2008
19/05/2008,980,21,2008
20/05/2008,1142,21,2008
21/05/2008,814,21,2008
22/05/2008,633,21,2008
23/05/2008,767,21,2008
24/05/2008,718,21,2008
25/05/2008,467,22,2008
26/05/2008,957,22,2008
27/05/2008,725,22,2008
28/05/2008,750,22,2008
29/05/2008,737,22,2008
30/05/2008,775,22,2008
31/05/2008,415,22,2008
01/06/2008,380,23,2008
02/06/2008,602,23,2008
03/06/2008,576,23,2008
04/06/2008,540,23,2008
05/06/2008,450,23,2008
06/06/2008,391,23,2008
07/06/2008,445,23,2008
08/06/2008,231,24,2008
09/06/2008,437,24,2008
10/06/2008,478,24,2008
11/06/2008,367,24,2008
12/06/2008,308,24,2008
13/06/2008,261,24,2008
14/06/2008,240,24,2008
15/06/2008,264,25,2008
16/06/2008,403,25,2008
17/06/2008,330,25,2008
18/06/2008,290,25,2008
19/06/2008,345,25,2008
20/06/2008,248,25,2008
21/06/2008,217,25,2008
22/06/2008,130,26,2008
23/06/2008,305,26,2008
24/06/2008,232,26,2008
25/06/2008,211,26,2008
26/06/2008,171,26,2008
27/06/2008,169,26,2008
28/06/2008,105,26,2008
29/06/2008,75,27,2008
30/06/2008,141,27,2008
01/07/2008,139,27,2008
02/07/2008,120,27,2008
03/07/2008,105,27,2008
04/07/2008,74,27,2008
05/07/2008,52,27,2008
06/07/2008,43,28,2008
07/07/2008,90,28,2008
08/07/2008,57,28,2008
09/07/2008,52,28,2008
10/07/2008,63,28,2008
11/07/2008,75,28,2008
12/07/2008,61,28,2008
13/07/2008,40,29,2008
