Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
82397,30/04/2007,0,,30,,3.3,2.9,25.86,87,1.066667
82397,30/04/2007,1200,8.2,,22.7,,,,,
82397,01/05/2007,0,,30.8,,7.8,1.8,27.24,80,1.933333
82397,01/05/2007,1200,0,,23.9,,,,,
82397,02/05/2007,0,,30.3,,2.6,2.4,26.04,85.25,1.766667
82397,02/05/2007,1200,44.2,,23.3,,,,,
82397,03/05/2007,0,,30.9,,4.6,2,26.12,83.75,1.966667
82397,03/05/2007,1200,25,,23.7,,,,,
82397,04/05/2007,0,,31.3,,9.8,2.9,26.96,79.25,2.866667
82397,04/05/2007,1200,0.4,,23.5,,,,,
82397,05/05/2007,0,,31.5,,7.1,1.9,27.1,80.25,2.366667
82397,05/05/2007,1200,2.9,,23.6,,,,,
82397,06/05/2007,0,,30.9,,2.9,3.1,26.86,84,2.1
82397,06/05/2007,1200,33,,23.7,,,,,
82397,07/05/2007,0,,30.9,,9.3,2.6,27.4,77.5,2.966667
82397,07/05/2007,1200,0,,23.4,,,,,
82397,08/05/2007,0,,30.9,,3.9,3.5,27.58,82.75,1.966667
82397,08/05/2007,1200,1.9,,26,,,,,
82397,09/05/2007,0,,31.3,,9.4,2.8,26.84,79.75,2.2
82397,09/05/2007,1200,0,,24.3,,,,,
82397,10/05/2007,0,,32.3,,3.5,3.3,26.34,76.25,1.8
82397,10/05/2007,1200,0,,23.4,,,,,
82397,11/05/2007,0,,32.1,,10.2,3.7,27.72,73.5,2.833333
82397,11/05/2007,1200,0,,23.3,,,,,
82397,12/05/2007,0,,31.7,,9.9,4.5,27.98,73,2.733333
82397,12/05/2007,1200,0,,24.6,,,,,
82397,13/05/2007,0,,30.9,,8.8,3.7,26.92,83.5,1.6
82397,13/05/2007,1200,26.8,,24.1,,,,,
82397,14/05/2007,0,,31.1,,8.9,2.8,26.66,82.5,2.6
82397,14/05/2007,1200,1.2,,24.6,,,,,
82397,15/05/2007,0,,30.9,,9.7,3.4,26.88,82.25,2.733333
82397,15/05/2007,1200,0,,23.9,,,,,
82397,16/05/2007,0,,31,,10.5,3.3,26.98,81.75,2.3
82397,16/05/2007,1200,0,,23.4,,,,,
82397,17/05/2007,0,,31.2,,10.4,4,27.42,76.25,3.466667
82397,17/05/2007,1200,0,,23.7,,,,,
82397,18/05/2007,0,,31,,6.3,5.2,26.58,73.25,2.866667
82397,18/05/2007,1200,0,,22.9,,,,,
82397,19/05/2007,0,,31.4,,10.2,3.9,27.78,76.75,3.7
82397,19/05/2007,1200,0,,24,,,,,
82397,20/05/2007,0,,31.8,,9.9,4.3,27.54,78.25,2.866667
82397,20/05/2007,1200,0.9,,24.3,,,,,
82397,21/05/2007,0,,31,,2.3,3.9,27.18,81.25,2.533333
82397,21/05/2007,1200,4.1,,24.7,,,,,
82397,22/05/2007,0,,29.9,,4.2,3,26.98,84.5,1.833333
82397,22/05/2007,1200,2,,24.5,,,,,
82397,23/05/2007,0,,31.1,,9.7,2.9,26.84,81,2.633333
82397,23/05/2007,1200,0.3,,23.9,,,,,
82397,24/05/2007,0,,30.3,,3.9,2.8,26.52,84.25,2.166667
82397,24/05/2007,1200,2.6,,23.9,,,,,
82397,25/05/2007,0,,32.3,,6.9,2.5,27.82,82,1.7
82397,25/05/2007,1200,12.9,,24.6,,,,,
82397,26/05/2007,0,,30.7,,7.6,2.8,26.18,83,1.833333
82397,26/05/2007,1200,2.8,,24.3,,,,,
82397,27/05/2007,0,,31,,10.1,3.5,26.66,78.25,2.7
82397,27/05/2007,1200,0,,23.7,,,,,
82397,28/05/2007,0,,31.2,,9.5,3.3,26.72,83.5,1.733333
82397,28/05/2007,1200,0,,23.4,,,,,
82397,29/05/2007,0,,31,,10,3.1,26.96,79.5,3.3
82397,29/05/2007,1200,0.7,,23.8,,,,,
82397,30/05/2007,0,,32.1,,10.2,4,27.6,75.25,2.933333
82397,30/05/2007,1200,0,,24.3,,,,,
82397,31/05/2007,0,,31.3,,10.7,3.8,27.8,80.5,3.366667
82397,31/05/2007,1200,17.8,,24.6,,,,,
82397,01/06/2007,0,,30.8,,8.6,3.7,26.9,75.75,3.833333
82397,01/06/2007,1200,0,,23.7,,,,,
82397,02/06/2007,0,,31,,10.2,4,26.38,79.25,2.066667
82397,02/06/2007,1200,0,,22.7,,,,,
82397,03/06/2007,0,,30.4,,8.2,3.1,26.02,81,1.966667
82397,03/06/2007,1200,2.6,,23.5,,,,,
82397,04/06/2007,0,,30.4,,10.2,2.3,26.56,81.5,2.366667
82397,04/06/2007,1200,2.3,,23,,,,,
82397,05/06/2007,0,,30.7,,8.8,3.6,27.14,78.25,2.033333
82397,05/06/2007,1200,0,,24.4,,,,,
82397,06/06/2007,0,,30.9,,6.2,2.8,26.1,83,1.333333
82397,06/06/2007,1200,23.2,,22.4,,,,,
82397,07/06/2007,0,,30.6,,8.8,2.8,26.4,77.5,1.8
82397,07/06/2007,1200,1.1,,23.5,,,,,
82397,08/06/2007,0,,31.5,,10.3,4.2,27.08,77.25,2.966667
82397,08/06/2007,1200,0,,23.7,,,,,
82397,09/06/2007,0,,29.4,,2.8,4.4,25.56,85.5,2.133333
82397,09/06/2007,1200,15.6,,23.4,,,,,
82397,10/06/2007,0,,30.4,,8.9,2,26.58,77,2.3
82397,10/06/2007,1200,0.8,,22.9,,,,,
82397,11/06/2007,0,,31.1,,9.5,3.1,26.62,72.25,2.466667
82397,11/06/2007,1200,3,,22.6,,,,,
82397,12/06/2007,0,,30.1,,7.4,4.3,26.4,79,2.7
82397,12/06/2007,1200,0,,23.5,,,,,
82397,13/06/2007,0,,30,,8.9,3.2,26.4,78.25,3.666667
82397,13/06/2007,1200,1.5,,22.8,,,,,
82397,14/06/2007,0,,30.8,,8.9,3.4,26.38,77.25,4.266667
82397,14/06/2007,1200,4.3,,23.3,,,,,
82397,15/06/2007,0,,31.1,,10.2,4.5,26.74,73,3.466667
82397,15/06/2007,1200,0,,22.6,,,,,
82397,16/06/2007,0,,30.9,,10.4,5,26.46,75.75,3.033333
82397,16/06/2007,1200,0,,22.7,,,,,
82397,17/06/2007,0,,29.6,,2.4,4.1,25.56,83.5,3.3
82397,17/06/2007,1200,0,,23.8,,,,,
82397,18/06/2007,0,,30.6,,6.8,2.6,26.62,72.25,3.1
82397,18/06/2007,1200,8.4,,22.5,,,,,
82397,19/06/2007,0,,30.6,,9.7,3.8,26.92,75.5,3.8
82397,19/06/2007,1200,0,,23.6,,,,,
82397,20/06/2007,0,,31.6,,10.2,4.3,26.02,77.25,2.9
82397,20/06/2007,1200,0,,23.3,,,,,
82397,21/06/2007,0,,30.9,,10.5,4.5,26.38,75,4.033333
82397,21/06/2007,1200,0,,21.8,,,,,
82397,22/06/2007,0,,30.6,,10.4,5.1,26.38,70.75,3.533333
82397,22/06/2007,1200,0,,22.3,,,,,
82397,23/06/2007,0,,30.2,,6.1,5.6,26.48,75.75,2.7
82397,23/06/2007,1200,0,,24.2,,,,,
82397,24/06/2007,0,,30.8,,10,3.2,26.32,80.25,2.266667
82397,24/06/2007,1200,0,,23.2,,,,,
82397,25/06/2007,0,,32.2,,10.2,3.8,26.02,73.75,3.066667
82397,25/06/2007,1200,0,,22.9,,,,,
82397,26/06/2007,0,,30.6,,10.4,4.5,26.16,71.75,4.7
82397,26/06/2007,1200,0,,21.6,,,,,
82397,27/06/2007,0,,31.2,,10.2,5.2,26.34,76.5,3
82397,27/06/2007,1200,0,,21.5,,,,,
82397,28/06/2007,0,,29.1,,7.8,3.8,26.16,78.75,3.366667
82397,28/06/2007,1200,2.7,,23,,,,,
82397,29/06/2007,0,,31.8,,10.1,3.2,25.64,76.75,2.5
82397,29/06/2007,1200,2.4,,22.3,,,,,
82397,30/06/2007,0,,31.2,,8.3,3.5,26.76,73.5,2.9
82397,30/06/2007,1200,0,,22.6,,,,,
82397,01/07/2007,0,,32.5,,9.9,3.8,27.42,74.5,2.133333
82397,01/07/2007,1200,0,,23.4,,,,,
82397,02/07/2007,0,,31.6,,10.4,4.4,27.04,75.5,2.8
82397,02/07/2007,1200,0,,23.1,,,,,
82397,03/07/2007,0,,31.2,,10.4,4.4,26.7,77.5,2.6
82397,03/07/2007,1200,0,,22.8,,,,,
82397,04/07/2007,0,,31.1,,10.5,4.6,26.66,69.25,3.466667
