Semana,Ano,Data_Notificacao,Infectados_Dengue,Infectados_7
41,2007,10/10/2007,37,146
41,2007,11/10/2007,32,155
41,2007,12/10/2007,18,161
41,2007,13/10/2007,12,161
42,2007,14/10/2007,6,171
42,2007,15/10/2007,69,175
42,2007,16/10/2007,18,210
42,2007,17/10/2007,51,192
42,2007,18/10/2007,20,206
42,2007,19/10/2007,48,194
42,2007,20/10/2007,6,224
43,2007,21/10/2007,6,218
43,2007,22/10/2007,48,218
43,2007,23/10/2007,40,197
43,2007,24/10/2007,36,219
43,2007,25/10/2007,29,204
43,2007,26/10/2007,34,213
43,2007,27/10/2007,18,199
44,2007,28/10/2007,6,211
44,2007,29/10/2007,41,211
44,2007,30/10/2007,46,204
44,2007,31/10/2007,49,210
44,2007,01/11/2007,17,223
44,2007,02/11/2007,6,211
44,2007,03/11/2007,8,183
45,2007,04/11/2007,14,173
45,2007,05/11/2007,66,181
45,2007,06/11/2007,43,206
45,2007,07/11/2007,52,203
45,2007,08/11/2007,30,206
45,2007,09/11/2007,24,219
45,2007,10/11/2007,20,237
46,2007,11/11/2007,8,249
46,2007,12/11/2007,50,243
46,2007,13/11/2007,33,227
46,2007,14/11/2007,48,217
46,2007,15/11/2007,4,213
46,2007,16/11/2007,38,187
46,2007,17/11/2007,16,201
47,2007,18/11/2007,12,197
47,2007,19/11/2007,56,201
47,2007,20/11/2007,38,207
47,2007,21/11/2007,40,212
47,2007,22/11/2007,33,204
47,2007,23/11/2007,48,233
47,2007,24/11/2007,12,243
48,2007,25/11/2007,6,239
48,2007,26/11/2007,50,233
48,2007,27/11/2007,56,227
48,2007,28/11/2007,52,245
48,2007,29/11/2007,25,257
48,2007,30/11/2007,46,249
48,2007,01/12/2007,14,247
49,2007,02/12/2007,17,249
49,2007,03/12/2007,57,260
49,2007,04/12/2007,32,267
49,2007,05/12/2007,76,243
49,2007,06/12/2007,29,267
49,2007,07/12/2007,40,271
49,2007,08/12/2007,6,265
50,2007,09/12/2007,14,257
50,2007,10/12/2007,60,254
50,2007,11/12/2007,30,257
50,2007,12/12/2007,58,255
50,2007,13/12/2007,42,237
50,2007,14/12/2007,35,250
50,2007,15/12/2007,12,245
51,2007,16/12/2007,9,251
51,2007,17/12/2007,52,246
51,2007,18/12/2007,24,238
51,2007,19/12/2007,61,232
51,2007,20/12/2007,39,235
51,2007,21/12/2007,32,232
51,2007,22/12/2007,6,229
52,2007,23/12/2007,8,223
52,2007,24/12/2007,16,222
52,2007,25/12/2007,2,186
52,2007,26/12/2007,90,164
52,2007,27/12/2007,45,193
52,2007,28/12/2007,24,199
52,2007,29/12/2007,20,191
53,2007,30/12/2007,8,205
53,2007,31/12/2007,12,205
1,2008,01/01/2008,14,201
1,2008,02/01/2008,92,213
1,2008,03/01/2008,34,215
1,2008,04/01/2008,40,204
1,2008,05/01/2008,8,220
2,2008,06/01/2008,18,208
2,2008,07/01/2008,62,218
2,2008,08/01/2008,46,268
2,2008,09/01/2008,77,300
2,2008,10/01/2008,43,285
2,2008,11/01/2008,48,294
2,2008,12/01/2008,16,302
3,2008,13/01/2008,10,310
3,2008,14/01/2008,41,302
3,2008,15/01/2008,55,281
3,2008,16/01/2008,92,290
3,2008,17/01/2008,42,305
3,2008,18/01/2008,42,304
3,2008,19/01/2008,30,298
4,2008,20/01/2008,24,312
4,2008,21/01/2008,88,326
4,2008,22/01/2008,76,373
4,2008,23/01/2008,98,394
