Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Semana,Ano
82397,27/01/2007,0,,32.5,,11,8.3,28.72,69,3.6,4,2007
82397,27/01/2007,1200,0,,26.5,,,,,,4,2007
82397,28/01/2007,0,,33.5,,10.5,7.4,28.52,74,3.033333,5,2007
82397,28/01/2007,1200,0,,25.3,,,,,,5,2007
82397,29/01/2007,0,,32.5,,9.2,7,28.84,74.5,3.433333,5,2007
82397,29/01/2007,1200,0,,26.5,,,,,,5,2007
82397,30/01/2007,0,,32.4,,6.1,6.5,28.74,77,2.633333,5,2007
82397,30/01/2007,1200,0,,27.6,,,,,,5,2007
82397,31/01/2007,0,,32.1,,2.3,5.5,28.78,80.25,2.633333,5,2007
82397,31/01/2007,1200,0,,27.7,,,,,,5,2007
82397,01/02/2007,0,,31.7,,7.7,5,28,79.25,3.566667,5,2007
82397,01/02/2007,1200,1.6,,26.6,,,,,,5,2007
82397,02/02/2007,0,,30.4,,2.2,5,27.3,80.75,2.266667,5,2007
82397,02/02/2007,1200,0,,25.5,,,,,,5,2007
82397,03/02/2007,0,,31.2,,5.4,2.2,28,77.5,2.466667,5,2007
82397,03/02/2007,1200,8.1,,25.4,,,,,,5,2007
82397,04/02/2007,0,,30.2,,1.8,3.5,27.46,81.25,2.2,6,2007
82397,04/02/2007,1200,1.4,,25.7,,,,,,6,2007
82397,05/02/2007,0,,30.3,,2.7,3.1,27.16,81.25,2.6,6,2007
82397,05/02/2007,1200,4.2,,25.5,,,,,,6,2007
82397,06/02/2007,0,,32,,9.3,2.7,28.34,76,3.433333,6,2007
82397,06/02/2007,1200,0.4,,25.7,,,,,,6,2007
82397,07/02/2007,0,,32.5,,10.6,5.2,28.56,73.75,3.2,6,2007
82397,07/02/2007,1200,0,,26.1,,,,,,6,2007
82397,08/02/2007,0,,31.1,,4.3,5.1,28.14,77,3.133333,6,2007
82397,08/02/2007,1200,3,,25.4,,,,,,6,2007
82397,09/02/2007,0,,31.7,,1.7,4.8,28.12,78,3.033333,6,2007
82397,09/02/2007,1200,6.3,,25.4,,,,,,6,2007
82397,10/02/2007,0,,31.8,,11.1,5,28.44,74,3.633333,6,2007
82397,10/02/2007,1200,0.4,,25.7,,,,,,6,2007
82397,11/02/2007,0,,32.2,,8.9,5.3,28.54,74,2.833333,7,2007
82397,11/02/2007,1200,0,,25.8,,,,,,7,2007
82397,12/02/2007,0,,31.7,,4.3,4.8,28.28,76,2.333333,7,2007
82397,12/02/2007,1200,0,,25.6,,,,,,7,2007
82397,13/02/2007,0,,33,,5.3,3.3,28.42,76,1.933333,7,2007
82397,13/02/2007,1200,0,,25.3,,,,,,7,2007
82397,14/02/2007,0,,27.4,,0.2,4.1,25.7,90.5,1.533333,7,2007
82397,14/02/2007,1200,11,,23.9,,,,,,7,2007
82397,15/02/2007,0,,28.5,,0.2,0.7,26.18,87,0.766667,7,2007
82397,15/02/2007,1200,60.7,,23.9,,,,,,7,2007
82397,16/02/2007,0,,30.8,,4.8,1.3,26.9,86,1.9,7,2007
82397,16/02/2007,1200,29,,23.7,,,,,,7,2007
82397,17/02/2007,0,,28.6,,0,2.5,25.5,91.75,1.3,7,2007
82397,17/02/2007,1200,38.6,,23.3,,,,,,7,2007
82397,18/02/2007,0,,30.2,,0.3,0.9,26.04,82,0.666667,8,2007
82397,18/02/2007,1200,33,,22.4,,,,,,8,2007
82397,19/02/2007,0,,30.4,,2.3,2,25.7,89.5,2,8,2007
82397,19/02/2007,1200,5.3,,23.5,,,,,,8,2007
82397,20/02/2007,0,,29.4,,1.3,1.4,25.62,84.75,2.033333,8,2007
82397,20/02/2007,1200,6.6,,22.6,,,,,,8,2007
82397,21/02/2007,0,,31.6,,6.4,1.3,27.08,76,2.6,8,2007
82397,21/02/2007,1200,1.4,,23,,,,,,8,2007
82397,22/02/2007,0,,31,,9.6,4,26.98,80.75,2.433333,8,2007
82397,22/02/2007,1200,14.8,,22.7,,,,,,8,2007
82397,23/02/2007,0,,27,,0,3.4,24.08,95.25,0.866667,8,2007
82397,23/02/2007,1200,91,,22.4,,,,,,8,2007
82397,24/02/2007,0,,30.2,,2.9,0.3,25.68,85,1.8,8,2007
82397,24/02/2007,1200,7,,22.6,,,,,,8,2007
82397,25/02/2007,0,,30.8,,8.4,2.7,27.18,79.75,3.033333,9,2007
82397,25/02/2007,1200,0.6,,23.6,,,,,,9,2007
82397,26/02/2007,0,,31.4,,9.3,3.5,27.74,79,3.733333,9,2007
82397,26/02/2007,1200,0.4,,24.1,,,,,,9,2007
82397,27/02/2007,0,,32.3,,11,4.7,28.2,74.5,3.166667,9,2007
82397,27/02/2007,1200,0,,24.3,,,,,,9,2007
82397,28/02/2007,0,,30.6,,2.6,5.7,26.42,84.25,2.566667,9,2007
82397,28/02/2007,1200,4.2,,23.3,,,,,,9,2007
82397,01/03/2007,0,,31,,5.3,2.4,26.68,83.75,3,9,2007
82397,01/03/2007,1200,8.3,,23.4,,,,,,9,2007
82397,02/03/2007,0,,28.6,,0,2.6,25.64,90,1.866667,9,2007
82397,02/03/2007,1200,40.4,,23.4,,,,,,9,2007
82397,03/03/2007,0,,30.4,,1.1,1.3,25.46,89.75,1.8,9,2007
82397,03/03/2007,1200,10.9,,23.4,,,,,,9,2007
82397,04/03/2007,0,,31.8,,9.6,1.9,27.08,77.75,2.466667,10,2007
82397,04/03/2007,1200,8.9,,22.7,,,,,,10,2007
82397,05/03/2007,0,,31.5,,10.7,4.4,27.64,78.25,3.433333,10,2007
82397,05/03/2007,1200,1.3,,22.9,,,,,,10,2007
82397,06/03/2007,0,,31,,6.7,4.9,27.32,79,2.633333,10,2007
82397,06/03/2007,1200,1.2,,24,,,,,,10,2007
82397,07/03/2007,0,,31.2,,1.7,3.5,26.92,83.25,2.233333,10,2007
82397,07/03/2007,1200,4.4,,24.5,,,,,,10,2007
82397,08/03/2007,0,,31.7,,4.3,2.5,27.54,78.75,2.2,10,2007
82397,08/03/2007,1200,3.2,,24.7,,,,,,10,2007
82397,09/03/2007,0,,31.8,,9.3,4.2,27.62,80.25,2.2,10,2007
82397,09/03/2007,1200,0.6,,24.7,,,,,,10,2007
82397,10/03/2007,0,,32.1,,6,4.3,27.74,77.25,2.9,10,2007
82397,10/03/2007,1200,3.6,,24.6,,,,,,10,2007
82397,11/03/2007,0,,28,,0,4.3,25.04,93.25,0.933333,11,2007
82397,11/03/2007,1200,31.6,,22.8,,,,,,11,2007
82397,12/03/2007,0,,31,,1.7,0.8,25.46,86.5,3.1,11,2007
82397,12/03/2007,1200,72.5,,21.9,,,,,,11,2007
82397,13/03/2007,0,,28.4,,0,2.4,24.94,92.5,1,11,2007
82397,13/03/2007,1200,44.4,,21.7,,,,,,11,2007
82397,14/03/2007,0,,31.2,,8.9,1,27.16,78.25,2.966667,11,2007
82397,14/03/2007,1200,8.8,,23.3,,,,,,11,2007
82397,15/03/2007,0,,31.2,,7.1,3.8,27.04,79,3.7,11,2007
82397,15/03/2007,1200,2.8,,23.2,,,,,,11,2007
82397,16/03/2007,0,,32.5,,7.8,4.2,27.52,74.75,2.233333,11,2007
82397,16/03/2007,1200,8.2,,23.3,,,,,,11,2007
82397,17/03/2007,0,,27.4,,0,3.5,25.54,93.25,0.833333,11,2007
82397,17/03/2007,1200,8,,24.3,,,,,,11,2007
82397,18/03/2007,0,,30.4,,5.1,0.5,26.74,85.25,1.866667,12,2007
82397,18/03/2007,1200,5.3,,23.5,,,,,,12,2007
82397,19/03/2007,0,,32,,8.9,3,27.62,81.25,2.566667,12,2007
82397,19/03/2007,1200,0.7,,23.7,,,,,,12,2007
82397,20/03/2007,0,,31.2,,2.3,3.1,27.3,81.75,1.133333,12,2007
82397,20/03/2007,1200,12.2,,24.5,,,,,,12,2007
82397,21/03/2007,0,,29.8,,1,2.6,27.48,78.5,2.476293,12,2007
82397,21/03/2007,1200,0.4,,24.5,,,,,,12,2007
82397,22/03/2007,0,,31.2,,6.2,5.5,27.5,77.5,2.233333,12,2007
82397,22/03/2007,1200,1.7,,24.1,,,,,,12,2007
82397,23/03/2007,0,,31.9,,5.2,3,27.6,80,2.8,12,2007
82397,23/03/2007,1200,5.9,,23.9,,,,,,12,2007
82397,24/03/2007,0,,30.9,,9.1,3.1,27.58,79,2.633333,12,2007
82397,24/03/2007,1200,23.2,,23.5,,,,,,12,2007
82397,25/03/2007,0,,31.5,,8.9,3.6,27.18,82.25,2.833333,13,2007
82397,25/03/2007,1200,12,,24.7,,,,,,13,2007
82397,26/03/2007,0,,31.8,,9.1,3.3,27.5,80.25,2.866667,13,2007
82397,26/03/2007,1200,0,,24.1,,,,,,13,2007
82397,27/03/2007,0,,29.4,,0,5.1,26.14,88.25,1.633333,13,2007
82397,27/03/2007,1200,4.2,,24.3,,,,,,13,2007
82397,28/03/2007,0,,31.8,,3.8,1.8,27.58,82.5,2.933333,13,2007
82397,28/03/2007,1200,12.9,,24.5,,,,,,13,2007
82397,29/03/2007,0,,32.5,,9.8,3.3,27.96,74.75,2.566667,13,2007
82397,29/03/2007,1200,0,,24.2,,,,,,13,2007
82397,30/03/2007,0,,31.9,,10.7,5.2,28.06,74.5,3.066667,13,2007
82397,30/03/2007,1200,0,,24.9,,,,,,13,2007
82397,31/03/2007,0,,31.5,,6.7,4.2,27.96,76.5,3.1,13,2007
82397,31/03/2007,1200,2.9,,24.3,,,,,,13,2007
82397,01/04/2007,0,,32.6,,10.2,3.6,28.84,74.5,3.633333,14,2007
82397,01/04/2007,1200,0,,25.8,,,,,,14,2007
82397,02/04/2007,0,,32.9,,8.1,5.4,28.14,73.25,2.033333,14,2007
82397,02/04/2007,1200,0,,24.6,,,,,,14,2007
82397,03/04/2007,0,,32,,9.1,5,28.2,75.25,3.233333,14,2007
82397,03/04/2007,1200,6,,24.1,,,,,,14,2007
82397,04/04/2007,0,,31.3,,6.9,5.6,27.68,78.25,2.733333,14,2007
82397,04/04/2007,1200,0.8,,24.5,,,,,,14,2007
82397,05/04/2007,0,,31.9,,9.5,3.7,28.1,77.25,2.4,14,2007
82397,05/04/2007,1200,2.5,,25.1,,,,,,14,2007
82397,06/04/2007,0,,34,,5.5,6,28.74,77.5,3.033333,14,2007
82397,06/04/2007,1200,0,,25.9,,,,,,14,2007
82397,07/04/2007,0,,32.5,,8.8,3.5,28.3,78.25,2.466667,14,2007
82397,07/04/2007,1200,0,,24.8,,,,,,14,2007
82397,08/04/2007,0,,32.6,,8.3,4.2,28.46,77.25,2.4,15,2007
82397,08/04/2007,1200,0,,24.9,,,,,,15,2007
82397,09/04/2007,0,,31.4,,4.6,3.8,27.88,80.5,2.433333,15,2007
82397,09/04/2007,1200,9,,24.9,,,,,,15,2007
82397,10/04/2007,0,,30.8,,1.5,3.1,27.02,88.25,1.566667,15,2007
82397,10/04/2007,1200,19.6,,24.3,,,,,,15,2007
82397,11/04/2007,0,,30.4,,1.9,1.6,26.48,83.75,2.2,15,2007
82397,11/04/2007,1200,14.1,,23,,,,,,15,2007
82397,12/04/2007,0,,30.8,,9.5,2,26.52,80.25,2.3,15,2007
82397,12/04/2007,1200,6.8,,24,,,,,,15,2007
82397,13/04/2007,0,,31.1,,8.3,3,27.22,76.75,2.733333,15,2007
82397,13/04/2007,1200,51,,22.6,,,,,,15,2007
82397,14/04/2007,0,,31,,9.5,3.1,27.28,79,3.066667,15,2007
82397,14/04/2007,1200,0.9,,23.7,,,,,,15,2007
82397,15/04/2007,0,,30.9,,6.2,4,27.44,82.75,2.633333,16,2007
82397,15/04/2007,1200,7.2,,24.7,,,,,,16,2007
82397,16/04/2007,0,,30.8,,2.9,3.5,27.14,82.5,2.5,16,2007
82397,16/04/2007,1200,4,,24.1,,,,,,16,2007
82397,17/04/2007,0,,29.1,,0,2.1,26.28,90,1.5,16,2007
82397,17/04/2007,1200,15.2,,24.3,,,,,,16,2007
82397,18/04/2007,0,,29,,0.8,1.5,25.22,90.25,1.6,16,2007
82397,18/04/2007,1200,60.2,,22.3,,,,,,16,2007
82397,19/04/2007,0,,31.2,,9.6,1.6,26.88,83,1.7,16,2007
82397,19/04/2007,1200,0,,23.7,,,,,,16,2007
82397,20/04/2007,0,,30.8,,9,2.7,26.92,82.5,2.9,16,2007
82397,20/04/2007,1200,0.4,,23.3,,,,,,16,2007
82397,21/04/2007,0,,29.8,,1,2.3,25.54,90.75,2.7,16,2007
82397,21/04/2007,1200,80,,23,,,,,,16,2007
82397,22/04/2007,0,,31.2,,4,1.6,26.66,84,1.933333,17,2007
82397,22/04/2007,1200,4.7,,23.9,,,,,,17,2007
82397,23/04/2007,0,,29.9,,0.1,2.2,26.58,86.75,1.4,17,2007
82397,23/04/2007,1200,1.1,,24.6,,,,,,17,2007
82397,24/04/2007,0,,29.7,,0.5,1.2,26.14,91,1.133333,17,2007
82397,24/04/2007,1200,8.4,,23.9,,,,,,17,2007
82397,25/04/2007,0,,30.6,,3.4,1.1,25.84,88,1.033333,17,2007
82397,25/04/2007,1200,5.5,,23.5,,,,,,17,2007
82397,26/04/2007,0,,28.6,,0.4,1.7,25.54,90,1.233333,17,2007
82397,26/04/2007,1200,10.6,,23.7,,,,,,17,2007
82397,27/04/2007,0,,29.4,,0.2,1,25.68,90.5,1.566667,17,2007
82397,27/04/2007,1200,20,,23,,,,,,17,2007
82397,28/04/2007,0,,30.8,,5.1,1.3,26.84,88.5,2.133333,17,2007
82397,28/04/2007,1200,18.9,,24.2,,,,,,17,2007
82397,29/04/2007,0,,31,,7.4,2.1,26.48,82.75,1.766667,18,2007
82397,29/04/2007,1200,4.3,,23.6,,,,,,18,2007
82397,30/04/2007,0,,30,,3.3,2.9,25.86,87,1.066667,18,2007
82397,30/04/2007,1200,8.2,,22.7,,,,,,18,2007
82397,01/05/2007,0,,30.8,,7.8,1.8,27.24,80,1.933333,18,2007
82397,01/05/2007,1200,0,,23.9,,,,,,18,2007
82397,02/05/2007,0,,30.3,,2.6,2.4,26.04,85.25,1.766667,18,2007
82397,02/05/2007,1200,44.2,,23.3,,,,,,18,2007
82397,03/05/2007,0,,30.9,,4.6,2,26.12,83.75,1.966667,18,2007
82397,03/05/2007,1200,25,,23.7,,,,,,18,2007
82397,04/05/2007,0,,31.3,,9.8,2.9,26.96,79.25,2.866667,18,2007
82397,04/05/2007,1200,0.4,,23.5,,,,,,18,2007
82397,05/05/2007,0,,31.5,,7.1,1.9,27.1,80.25,2.366667,18,2007
82397,05/05/2007,1200,2.9,,23.6,,,,,,18,2007
82397,06/05/2007,0,,30.9,,2.9,3.1,26.86,84,2.1,19,2007
82397,06/05/2007,1200,33,,23.7,,,,,,19,2007
82397,07/05/2007,0,,30.9,,9.3,2.6,27.4,77.5,2.966667,19,2007
82397,07/05/2007,1200,0,,23.4,,,,,,19,2007
82397,08/05/2007,0,,30.9,,3.9,3.5,27.58,82.75,1.966667,19,2007
82397,08/05/2007,1200,1.9,,26,,,,,,19,2007
82397,09/05/2007,0,,31.3,,9.4,2.8,26.84,79.75,2.2,19,2007
82397,09/05/2007,1200,0,,24.3,,,,,,19,2007
82397,10/05/2007,0,,32.3,,3.5,3.3,26.34,76.25,1.8,19,2007
82397,10/05/2007,1200,0,,23.4,,,,,,19,2007
82397,11/05/2007,0,,32.1,,10.2,3.7,27.72,73.5,2.833333,19,2007
82397,11/05/2007,1200,0,,23.3,,,,,,19,2007
82397,12/05/2007,0,,31.7,,9.9,4.5,27.98,73,2.733333,19,2007
82397,12/05/2007,1200,0,,24.6,,,,,,19,2007
82397,13/05/2007,0,,30.9,,8.8,3.7,26.92,83.5,1.6,20,2007
82397,13/05/2007,1200,26.8,,24.1,,,,,,20,2007
82397,14/05/2007,0,,31.1,,8.9,2.8,26.66,82.5,2.6,20,2007
82397,14/05/2007,1200,1.2,,24.6,,,,,,20,2007
82397,15/05/2007,0,,30.9,,9.7,3.4,26.88,82.25,2.733333,20,2007
82397,15/05/2007,1200,0,,23.9,,,,,,20,2007
82397,16/05/2007,0,,31,,10.5,3.3,26.98,81.75,2.3,20,2007
82397,16/05/2007,1200,0,,23.4,,,,,,20,2007
82397,17/05/2007,0,,31.2,,10.4,4,27.42,76.25,3.466667,20,2007
82397,17/05/2007,1200,0,,23.7,,,,,,20,2007
82397,18/05/2007,0,,31,,6.3,5.2,26.58,73.25,2.866667,20,2007
82397,18/05/2007,1200,0,,22.9,,,,,,20,2007
82397,19/05/2007,0,,31.4,,10.2,3.9,27.78,76.75,3.7,20,2007
82397,19/05/2007,1200,0,,24,,,,,,20,2007
82397,20/05/2007,0,,31.8,,9.9,4.3,27.54,78.25,2.866667,21,2007
82397,20/05/2007,1200,0.9,,24.3,,,,,,21,2007
82397,21/05/2007,0,,31,,2.3,3.9,27.18,81.25,2.533333,21,2007
82397,21/05/2007,1200,4.1,,24.7,,,,,,21,2007
82397,22/05/2007,0,,29.9,,4.2,3,26.98,84.5,1.833333,21,2007
82397,22/05/2007,1200,2,,24.5,,,,,,21,2007
82397,23/05/2007,0,,31.1,,9.7,2.9,26.84,81,2.633333,21,2007
82397,23/05/2007,1200,0.3,,23.9,,,,,,21,2007
82397,24/05/2007,0,,30.3,,3.9,2.8,26.52,84.25,2.166667,21,2007
82397,24/05/2007,1200,2.6,,23.9,,,,,,21,2007
82397,25/05/2007,0,,32.3,,6.9,2.5,27.82,82,1.7,21,2007
82397,25/05/2007,1200,12.9,,24.6,,,,,,21,2007
82397,26/05/2007,0,,30.7,,7.6,2.8,26.18,83,1.833333,21,2007
82397,26/05/2007,1200,2.8,,24.3,,,,,,21,2007
82397,27/05/2007,0,,31,,10.1,3.5,26.66,78.25,2.7,22,2007
82397,27/05/2007,1200,0,,23.7,,,,,,22,2007
82397,28/05/2007,0,,31.2,,9.5,3.3,26.72,83.5,1.733333,22,2007
82397,28/05/2007,1200,0,,23.4,,,,,,22,2007
82397,29/05/2007,0,,31,,10,3.1,26.96,79.5,3.3,22,2007
82397,29/05/2007,1200,0.7,,23.8,,,,,,22,2007
82397,30/05/2007,0,,32.1,,10.2,4,27.6,75.25,2.933333,22,2007
82397,30/05/2007,1200,0,,24.3,,,,,,22,2007
82397,31/05/2007,0,,31.3,,10.7,3.8,27.8,80.5,3.366667,22,2007
82397,31/05/2007,1200,17.8,,24.6,,,,,,22,2007
82397,01/06/2007,0,,30.8,,8.6,3.7,26.9,75.75,3.833333,22,2007
82397,01/06/2007,1200,0,,23.7,,,,,,22,2007
82397,02/06/2007,0,,31,,10.2,4,26.38,79.25,2.066667,22,2007
82397,02/06/2007,1200,0,,22.7,,,,,,22,2007
82397,03/06/2007,0,,30.4,,8.2,3.1,26.02,81,1.966667,23,2007
82397,03/06/2007,1200,2.6,,23.5,,,,,,23,2007
82397,04/06/2007,0,,30.4,,10.2,2.3,26.56,81.5,2.366667,23,2007
82397,04/06/2007,1200,2.3,,23,,,,,,23,2007
82397,05/06/2007,0,,30.7,,8.8,3.6,27.14,78.25,2.033333,23,2007
82397,05/06/2007,1200,0,,24.4,,,,,,23,2007
82397,06/06/2007,0,,30.9,,6.2,2.8,26.1,83,1.333333,23,2007
82397,06/06/2007,1200,23.2,,22.4,,,,,,23,2007
82397,07/06/2007,0,,30.6,,8.8,2.8,26.4,77.5,1.8,23,2007
82397,07/06/2007,1200,1.1,,23.5,,,,,,23,2007
82397,08/06/2007,0,,31.5,,10.3,4.2,27.08,77.25,2.966667,23,2007
82397,08/06/2007,1200,0,,23.7,,,,,,23,2007
82397,09/06/2007,0,,29.4,,2.8,4.4,25.56,85.5,2.133333,23,2007
82397,09/06/2007,1200,15.6,,23.4,,,,,,23,2007
82397,10/06/2007,0,,30.4,,8.9,2,26.58,77,2.3,24,2007
82397,10/06/2007,1200,0.8,,22.9,,,,,,24,2007
82397,11/06/2007,0,,31.1,,9.5,3.1,26.62,72.25,2.466667,24,2007
82397,11/06/2007,1200,3,,22.6,,,,,,24,2007
82397,12/06/2007,0,,30.1,,7.4,4.3,26.4,79,2.7,24,2007
82397,12/06/2007,1200,0,,23.5,,,,,,24,2007
82397,13/06/2007,0,,30,,8.9,3.2,26.4,78.25,3.666667,24,2007
82397,13/06/2007,1200,1.5,,22.8,,,,,,24,2007
82397,14/06/2007,0,,30.8,,8.9,3.4,26.38,77.25,4.266667,24,2007
82397,14/06/2007,1200,4.3,,23.3,,,,,,24,2007
82397,15/06/2007,0,,31.1,,10.2,4.5,26.74,73,3.466667,24,2007
82397,15/06/2007,1200,0,,22.6,,,,,,24,2007
82397,16/06/2007,0,,30.9,,10.4,5,26.46,75.75,3.033333,24,2007
82397,16/06/2007,1200,0,,22.7,,,,,,24,2007
82397,17/06/2007,0,,29.6,,2.4,4.1,25.56,83.5,3.3,25,2007
82397,17/06/2007,1200,0,,23.8,,,,,,25,2007
82397,18/06/2007,0,,30.6,,6.8,2.6,26.62,72.25,3.1,25,2007
82397,18/06/2007,1200,8.4,,22.5,,,,,,25,2007
82397,19/06/2007,0,,30.6,,9.7,3.8,26.92,75.5,3.8,25,2007
82397,19/06/2007,1200,0,,23.6,,,,,,25,2007
82397,20/06/2007,0,,31.6,,10.2,4.3,26.02,77.25,2.9,25,2007
82397,20/06/2007,1200,0,,23.3,,,,,,25,2007
82397,21/06/2007,0,,30.9,,10.5,4.5,26.38,75,4.033333,25,2007
82397,21/06/2007,1200,0,,21.8,,,,,,25,2007
82397,22/06/2007,0,,30.6,,10.4,5.1,26.38,70.75,3.533333,25,2007
82397,22/06/2007,1200,0,,22.3,,,,,,25,2007
82397,23/06/2007,0,,30.2,,6.1,5.6,26.48,75.75,2.7,25,2007
82397,23/06/2007,1200,0,,24.2,,,,,,25,2007
82397,24/06/2007,0,,30.8,,10,3.2,26.32,80.25,2.266667,26,2007
82397,24/06/2007,1200,0,,23.2,,,,,,26,2007
82397,25/06/2007,0,,32.2,,10.2,3.8,26.02,73.75,3.066667,26,2007
82397,25/06/2007,1200,0,,22.9,,,,,,26,2007
82397,26/06/2007,0,,30.6,,10.4,4.5,26.16,71.75,4.7,26,2007
82397,26/06/2007,1200,0,,21.6,,,,,,26,2007
82397,27/06/2007,0,,31.2,,10.2,5.2,26.34,76.5,3,26,2007
82397,27/06/2007,1200,0,,21.5,,,,,,26,2007
82397,28/06/2007,0,,29.1,,7.8,3.8,26.16,78.75,3.366667,26,2007
82397,28/06/2007,1200,2.7,,23,,,,,,26,2007
82397,29/06/2007,0,,31.8,,10.1,3.2,25.64,76.75,2.5,26,2007
82397,29/06/2007,1200,2.4,,22.3,,,,,,26,2007
82397,30/06/2007,0,,31.2,,8.3,3.5,26.76,73.5,2.9,26,2007
82397,30/06/2007,1200,0,,22.6,,,,,,26,2007
82397,01/07/2007,0,,32.5,,9.9,3.8,27.42,74.5,2.133333,27,2007
82397,01/07/2007,1200,0,,23.4,,,,,,27,2007
82397,02/07/2007,0,,31.6,,10.4,4.4,27.04,75.5,2.8,27,2007
82397,02/07/2007,1200,0,,23.1,,,,,,27,2007
82397,03/07/2007,0,,31.2,,10.4,4.4,26.7,77.5,2.6,27,2007
82397,03/07/2007,1200,0,,22.8,,,,,,27,2007
82397,04/07/2007,0,,31.1,,10.5,4.6,26.66,69.25,3.466667,27,2007
82397,04/07/2007,1200,0,,22.6,,,,,,27,2007
82397,05/07/2007,0,,30.1,,3,6,26.02,79,2.233333,27,2007
82397,05/07/2007,1200,0,,22.2,,,,,,27,2007
82397,06/07/2007,0,,31.1,,10.5,3.1,26.34,76.75,3.633333,27,2007
82397,06/07/2007,1200,0,,21.5,,,,,,27,2007
82397,07/07/2007,0,,31.1,,10.3,6.4,26.3,79.5,3.4,27,2007
82397,07/07/2007,1200,0,,21.6,,,,,,27,2007
82397,08/07/2007,0,,31.1,,8.7,5.5,26.76,81.25,3.8,28,2007
