semana,ano,cidade,infectados
23,2014,Sobral,27
24,2014,Sobral,17
25,2014,Sobral,40
26,2014,Sobral,46
27,2014,Sobral,68
28,2014,Sobral,54
29,2014,Sobral,42
30,2014,Sobral,34
31,2014,Sobral,19
32,2014,Sobral,10
33,2014,Sobral,11
34,2014,Sobral,6
35,2014,Sobral,3
36,2014,Sobral,6
37,2014,Sobral,4
38,2014,Sobral,2
39,2014,Sobral,1
40,2014,Sobral,1
41,2014,Sobral,0
42,2014,Sobral,2
43,2014,Sobral,0
44,2014,Sobral,0
45,2014,Sobral,1
46,2014,Sobral,1
47,2014,Sobral,1
48,2014,Sobral,2
49,2014,Sobral,2
50,2014,Sobral,0
51,2014,Sobral,1
52,2014,Sobral,0
1,2015,Sobral,0
2,2015,Sobral,3
3,2015,Sobral,1
4,2015,Sobral,1
5,2015,Sobral,1
6,2015,Sobral,2
7,2015,Sobral,0
8,2015,Sobral,2
9,2015,Sobral,1
10,2015,Sobral,1
11,2015,Sobral,0
12,2015,Sobral,0
13,2015,Sobral,4
14,2015,Sobral,1
15,2015,Sobral,0
16,2015,Sobral,3
17,2015,Sobral,3
18,2015,Sobral,1
19,2015,Sobral,3
20,2015,Sobral,9
21,2015,Sobral,4
22,2015,Sobral,13
23,2015,Sobral,9
24,2015,Sobral,12
25,2015,Sobral,9
26,2015,Sobral,8
27,2015,Sobral,4
28,2015,Sobral,0
29,2015,Sobral,0
30,2015,Sobral,0
31,2015,Sobral,0
32,2015,Sobral,0
33,2015,Sobral,0
34,2015,Sobral,0
35,2015,Sobral,0
36,2015,Sobral,0
37,2015,Sobral,0
38,2015,Sobral,0
39,2015,Sobral,0
40,2015,Sobral,0
41,2015,Sobral,0
42,2015,Sobral,0
43,2015,Sobral,0
44,2015,Sobral,0
45,2015,Sobral,0
46,2015,Sobral,0
47,2015,Sobral,0
48,2015,Sobral,0
49,2015,Sobral,0
50,2015,Sobral,0
51,2015,Sobral,0
52,2015,Sobral,2
1,2016,Sobral,5
2,2016,Sobral,2
3,2016,Sobral,6
4,2016,Sobral,7
5,2016,Sobral,6
6,2016,Sobral,10
7,2016,Sobral,14
8,2016,Sobral,11
9,2016,Sobral,4
10,2016,Sobral,7
11,2016,Sobral,17
12,2016,Sobral,22
13,2016,Sobral,42
14,2016,Sobral,36
15,2016,Sobral,50
16,2016,Sobral,30
17,2016,Sobral,33
18,2016,Sobral,49
19,2016,Sobral,36
20,2016,Sobral,34
21,2016,Sobral,27
22,2016,Sobral,53
23,2016,Sobral,44
24,2016,Sobral,25
25,2016,Sobral,32
26,2016,Sobral,27
27,2016,Sobral,25
28,2016,Sobral,10
29,2016,Sobral,9
30,2016,Sobral,4
31,2016,Sobral,5
32,2016,Sobral,3
33,2016,Sobral,4
34,2016,Sobral,5
35,2016,Sobral,1
36,2016,Sobral,0
37,2016,Sobral,3
38,2016,Sobral,0
39,2016,Sobral,0
40,2016,Sobral,0
41,2016,Sobral,3
42,2016,Sobral,4
43,2016,Sobral,2
44,2016,Sobral,1
45,2016,Sobral,1
46,2016,Sobral,1
47,2016,Sobral,3
48,2016,Sobral,0
49,2016,Sobral,2
50,2016,Sobral,1
51,2016,Sobral,4
52,2016,Sobral,0
1,2017,Sobral,0
2,2017,Sobral,0
3,2017,Sobral,0
4,2017,Sobral,0
5,2017,Sobral,0
6,2017,Sobral,0
7,2017,Sobral,1
8,2017,Sobral,0
9,2017,Sobral,0
10,2017,Sobral,1
11,2017,Sobral,0
12,2017,Sobral,0
13,2017,Sobral,0
14,2017,Sobral,0
15,2017,Sobral,0
16,2017,Sobral,0
17,2017,Sobral,1
18,2017,Sobral,1
19,2017,Sobral,1
20,2017,Sobral,0
21,2017,Sobral,0
22,2017,Sobral,1
23,2017,Sobral,0
24,2017,Sobral,1
25,2017,Sobral,0
26,2017,Sobral,0
27,2017,Sobral,0
28,2017,Sobral,1
29,2017,Sobral,0
30,2017,Sobral,1
31,2017,Sobral,0
32,2017,Sobral,0
33,2017,Sobral,0
34,2017,Sobral,0
35,2017,Sobral,0
36,2017,Sobral,0
37,2017,Sobral,0
38,2017,Sobral,0
39,2017,Sobral,0
40,2017,Sobral,0
41,2017,Sobral,0
