semana,ano,cidade,infectados
37,2013,Sobral,0
38,2013,Sobral,1
39,2013,Sobral,0
40,2013,Sobral,1
41,2013,Sobral,1
42,2013,Sobral,0
43,2013,Sobral,0
44,2013,Sobral,0
45,2013,Sobral,0
46,2013,Sobral,0
47,2013,Sobral,0
48,2013,Sobral,0
49,2013,Sobral,0
50,2013,Sobral,0
51,2013,Sobral,0
52,2013,Sobral,0
1,2014,Sobral,0
2,2014,Sobral,1
3,2014,Sobral,0
4,2014,Sobral,0
5,2014,Sobral,0
6,2014,Sobral,0
7,2014,Sobral,0
8,2014,Sobral,1
9,2014,Sobral,1
10,2014,Sobral,0
11,2014,Sobral,2
12,2014,Sobral,0
13,2014,Sobral,1
14,2014,Sobral,1
15,2014,Sobral,1
16,2014,Sobral,1
17,2014,Sobral,3
18,2014,Sobral,4
19,2014,Sobral,6
20,2014,Sobral,3
21,2014,Sobral,10
22,2014,Sobral,13
23,2014,Sobral,27
24,2014,Sobral,17
25,2014,Sobral,40
26,2014,Sobral,46
27,2014,Sobral,68
28,2014,Sobral,54
29,2014,Sobral,42
30,2014,Sobral,34
31,2014,Sobral,19
32,2014,Sobral,10
33,2014,Sobral,11
34,2014,Sobral,6
35,2014,Sobral,3
36,2014,Sobral,6
37,2014,Sobral,4
38,2014,Sobral,2
39,2014,Sobral,1
40,2014,Sobral,1
41,2014,Sobral,0
42,2014,Sobral,2
43,2014,Sobral,0
44,2014,Sobral,0
45,2014,Sobral,1
46,2014,Sobral,1
47,2014,Sobral,1
48,2014,Sobral,2
49,2014,Sobral,2
50,2014,Sobral,0
51,2014,Sobral,1
52,2014,Sobral,0
1,2015,Sobral,0
2,2015,Sobral,3
3,2015,Sobral,1
4,2015,Sobral,1
5,2015,Sobral,1
6,2015,Sobral,2
7,2015,Sobral,0
8,2015,Sobral,2
9,2015,Sobral,1
10,2015,Sobral,1
11,2015,Sobral,0
12,2015,Sobral,0
13,2015,Sobral,4
14,2015,Sobral,1
15,2015,Sobral,0
16,2015,Sobral,3
17,2015,Sobral,3
18,2015,Sobral,1
19,2015,Sobral,3
20,2015,Sobral,9
21,2015,Sobral,4
22,2015,Sobral,13
23,2015,Sobral,9
24,2015,Sobral,12
25,2015,Sobral,9
26,2015,Sobral,8
27,2015,Sobral,4
28,2015,Sobral,0
29,2015,Sobral,0
30,2015,Sobral,0
31,2015,Sobral,0
32,2015,Sobral,0
33,2015,Sobral,0
34,2015,Sobral,0
35,2015,Sobral,0
36,2015,Sobral,0
37,2015,Sobral,0
38,2015,Sobral,0
39,2015,Sobral,0
40,2015,Sobral,0
41,2015,Sobral,0
42,2015,Sobral,0
43,2015,Sobral,0
44,2015,Sobral,0
45,2015,Sobral,0
46,2015,Sobral,0
47,2015,Sobral,0
48,2015,Sobral,0
49,2015,Sobral,0
50,2015,Sobral,0
51,2015,Sobral,0
52,2015,Sobral,2
1,2016,Sobral,5
2,2016,Sobral,2
3,2016,Sobral,6
4,2016,Sobral,7
5,2016,Sobral,6
6,2016,Sobral,10
7,2016,Sobral,14
8,2016,Sobral,11
9,2016,Sobral,4
10,2016,Sobral,7
11,2016,Sobral,17
12,2016,Sobral,22
13,2016,Sobral,42
14,2016,Sobral,36
15,2016,Sobral,50
16,2016,Sobral,30
17,2016,Sobral,33
18,2016,Sobral,49
19,2016,Sobral,36
20,2016,Sobral,34
21,2016,Sobral,27
22,2016,Sobral,53
23,2016,Sobral,44
24,2016,Sobral,25
25,2016,Sobral,32
26,2016,Sobral,27
27,2016,Sobral,25
28,2016,Sobral,10
29,2016,Sobral,9
30,2016,Sobral,4
31,2016,Sobral,5
32,2016,Sobral,3
33,2016,Sobral,4
34,2016,Sobral,5
35,2016,Sobral,1
36,2016,Sobral,0
37,2016,Sobral,3
38,2016,Sobral,0
39,2016,Sobral,0
40,2016,Sobral,0
41,2016,Sobral,3
42,2016,Sobral,4
43,2016,Sobral,2
44,2016,Sobral,1
45,2016,Sobral,1
46,2016,Sobral,1
47,2016,Sobral,3
48,2016,Sobral,0
49,2016,Sobral,2
50,2016,Sobral,1
51,2016,Sobral,4
52,2016,Sobral,0
1,2017,Sobral,0
2,2017,Sobral,0
3,2017,Sobral,0
4,2017,Sobral,0
5,2017,Sobral,0
6,2017,Sobral,0
7,2017,Sobral,1
8,2017,Sobral,0
9,2017,Sobral,0
10,2017,Sobral,1
11,2017,Sobral,0
12,2017,Sobral,0
13,2017,Sobral,0
14,2017,Sobral,0
15,2017,Sobral,0
16,2017,Sobral,0
17,2017,Sobral,1
18,2017,Sobral,1
19,2017,Sobral,1
20,2017,Sobral,0
21,2017,Sobral,0
22,2017,Sobral,1
23,2017,Sobral,0
24,2017,Sobral,1
25,2017,Sobral,0
26,2017,Sobral,0
27,2017,Sobral,0
28,2017,Sobral,1
29,2017,Sobral,0
30,2017,Sobral,1
31,2017,Sobral,0
32,2017,Sobral,0
33,2017,Sobral,0
34,2017,Sobral,0
35,2017,Sobral,0
36,2017,Sobral,0
37,2017,Sobral,0
38,2017,Sobral,0
39,2017,Sobral,0
40,2017,Sobral,0
41,2017,Sobral,0
42,2017,Sobral,0
43,2017,Sobral,0
44,2017,Sobral,0
45,2017,Sobral,0
46,2017,Sobral,0
47,2017,Sobral,0
48,2017,Sobral,0
49,2017,Sobral,0
50,2017,Sobral,0
51,2017,Sobral,0
52,2017,Sobral,1
1,2018,Sobral,0
2,2018,Sobral,0
3,2018,Sobral,0
4,2018,Sobral,0
5,2018,Sobral,1
6,2018,Sobral,0
7,2018,Sobral,0
8,2018,Sobral,0
9,2018,Sobral,0
10,2018,Sobral,0
11,2018,Sobral,1
12,2018,Sobral,0
13,2018,Sobral,0
14,2018,Sobral,0
15,2018,Sobral,0
16,2018,Sobral,0
17,2018,Sobral,0
18,2018,Sobral,0
19,2018,Sobral,0
20,2018,Sobral,0
21,2018,Sobral,0
22,2018,Sobral,0
23,2018,Sobral,0
24,2018,Sobral,0
25,2018,Sobral,0
26,2018,Sobral,0
27,2018,Sobral,0
28,2018,Sobral,0
29,2018,Sobral,0
30,2018,Sobral,0
31,2018,Sobral,0
32,2018,Sobral,0
33,2018,Sobral,0
34,2018,Sobral,0
35,2018,Sobral,0
36,2018,Sobral,0
37,2018,Sobral,0
38,2018,Sobral,1
39,2018,Sobral,0
40,2018,Sobral,0
41,2018,Sobral,0
42,2018,Sobral,0
43,2018,Sobral,0
44,2018,Sobral,0
45,2018,Sobral,0
46,2018,Sobral,0
47,2018,Sobral,1
48,2018,Sobral,0
49,2018,Sobral,0
50,2018,Sobral,0
51,2018,Sobral,1
52,2018,Sobral,0
1,2019,Sobral,1
2,2019,Sobral,0
3,2019,Sobral,0
4,2019,Sobral,0
5,2019,Sobral,0
6,2019,Sobral,1
7,2019,Sobral,0
8,2019,Sobral,0
9,2019,Sobral,0
10,2019,Sobral,1
11,2019,Sobral,0
12,2019,Sobral,0
13,2019,Sobral,1
14,2019,Sobral,0
15,2019,Sobral,1
16,2019,Sobral,0
17,2019,Sobral,2
18,2019,Sobral,0
19,2019,Sobral,0
20,2019,Sobral,2
21,2019,Sobral,2
22,2019,Sobral,0
23,2019,Sobral,2
24,2019,Sobral,2
25,2019,Sobral,0
26,2019,Sobral,0
27,2019,Sobral,2
28,2019,Sobral,0
29,2019,Sobral,1
30,2019,Sobral,1
31,2019,Sobral,13
32,2019,Sobral,16
