ds,y
06/02/2017,13
13/02/2017,29
20/02/2017,51
27/02/2017,83
06/03/2017,108
13/03/2017,70
20/03/2017,131
27/03/2017,56
03/04/2017,10
10/04/2017,17
17/04/2017,7
24/04/2017,6
01/05/2017,4
08/05/2017,6
15/05/2017,8
22/05/2017,8
29/05/2017,16
05/06/2017,16
12/06/2017,8
19/06/2017,7
26/06/2017,7
03/07/2017,9
10/07/2017,10
17/07/2017,3
24/07/2017,4
31/07/2017,4
07/08/2017,18
14/08/2017,8
21/08/2017,5
28/08/2017,7
04/09/2017,16
11/09/2017,10
18/09/2017,6
25/09/2017,7
02/10/2017,4
09/10/2017,5
16/10/2017,4
23/10/2017,9
30/10/2017,8
06/11/2017,7
13/11/2017,9
20/11/2017,13
27/11/2017,3
04/12/2017,1
11/12/2017,0
18/12/2017,0
25/12/2017,2
01/01/2018,2
08/01/2018,1
15/01/2018,2
22/01/2018,5
29/01/2018,4
05/02/2018,9
12/02/2018,9
19/02/2018,9
26/02/2018,11
05/03/2018,11
12/03/2018,6
19/03/2018,18
26/03/2018,22
02/04/2018,23
09/04/2018,20
16/04/2018,18
23/04/2018,15
30/04/2018,1
07/05/2018,5
14/05/2018,1
21/05/2018,5
28/05/2018,4
04/06/2018,2
11/06/2018,2
18/06/2018,2
25/06/2018,1
02/07/2018,0
09/07/2018,0
16/07/2018,4
23/07/2018,0
30/07/2018,6
06/08/2018,3
13/08/2018,5
20/08/2018,3
27/08/2018,2
03/09/2018,2
10/09/2018,2
17/09/2018,2
24/09/2018,0
01/10/2018,3
08/10/2018,0
15/10/2018,0
22/10/2018,1
29/10/2018,0
05/11/2018,0
12/11/2018,1
19/11/2018,1
26/11/2018,1
03/12/2018,0
10/12/2018,1
17/12/2018,1
24/12/2018,1
31/12/2018,1
07/01/2019,4
14/01/2019,1
21/01/2019,1
28/01/2019,0
04/02/2019,3
11/02/2019,4
18/02/2019,4
25/02/2019,7
04/03/2019,3
11/03/2019,6
18/03/2019,7
25/03/2019,13
01/04/2019,28
08/04/2019,23
15/04/2019,18
22/04/2019,4
29/04/2019,9
06/05/2019,10
13/05/2019,11
20/05/2019,3
27/05/2019,5
03/06/2019,10
10/06/2019,2
17/06/2019,1
24/06/2019,2
01/07/2019,5
08/07/2019,2
15/07/2019,4
22/07/2019,2
29/07/2019,1
05/08/2019,3
12/08/2019,2
19/08/2019,1
26/08/2019,1
02/09/2019,0
09/09/2019,0
16/09/2019,3
23/09/2019,1
30/09/2019,0
07/10/2019,0
14/10/2019,0
21/10/2019,0
28/10/2019,0
04/11/2019,0
11/11/2019,0
18/11/2019,0
25/11/2019,0
02/12/2019,0
09/12/2019,0
16/12/2019,0
23/12/2019,0
30/12/2019,0
