Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Semana,Ano
23/03/2007,0,,30.2,,4.6,2.4,25.92,92,1,12,2007
23/03/2007,1200,0.6,,23.8,,,,,,12,2007
24/03/2007,0,,32.4,,6.1,1,26.58,83,0.5,12,2007
24/03/2007,1200,11,,22.1,,,,,,12,2007
25/03/2007,0,,32.6,,9.7,2.6,26.96,74.5,1.866667,13,2007
25/03/2007,1200,0,,23,,,,,,13,2007
26/03/2007,0,,33.1,,7.4,3.1,26.94,67.75,0.666667,13,2007
26/03/2007,1200,0,,22,,,,,,13,2007
27/03/2007,0,,31.4,,7.4,3.1,26.66,76.75,0.666667,13,2007
27/03/2007,1200,0,,22.1,,,,,,13,2007
28/03/2007,0,,31.7,,3.8,2.6,25.8,81,1,13,2007
28/03/2007,1200,0,,22.3,,,,,,13,2007
29/03/2007,0,,32,,7.1,1.8,26.94,77.5,0.833333,13,2007
29/03/2007,1200,18.4,,22.9,,,,,,13,2007
30/03/2007,0,,33,,10.1,3.1,26.7,77.75,1.933333,13,2007
30/03/2007,1200,0,,22.5,,,,,,13,2007
31/03/2007,0,,32.8,,7.1,3.3,26.6,80,2,13,2007
31/03/2007,1200,0,,21.8,,,,,,13,2007
01/04/2007,0,,33.3,,7.2,2.1,26.46,83.75,0.6,14,2007
01/04/2007,1200,0.6,,22.9,,,,,,14,2007
02/04/2007,0,,33.2,,9.3,2.4,27.44,69.75,2,14,2007
02/04/2007,1200,8,,23,,,,,,14,2007
03/04/2007,0,,32.9,,7.3,3.6,26.74,79.25,1.433333,14,2007
03/04/2007,1200,0,,22.8,,,,,,14,2007
04/04/2007,0,,32,,5.9,2.9,26.68,77.5,1.333333,14,2007
04/04/2007,1200,0,,23,,,,,,14,2007
05/04/2007,0,,31.8,,7.6,2.1,25.9,82.5,0.666667,14,2007
05/04/2007,1200,0,,21.8,,,,,,14,2007
06/04/2007,0,,32.4,,7.5,1.8,26.24,83.5,1.5,14,2007
06/04/2007,1200,26.2,,22.8,,,,,,14,2007
07/04/2007,0,,32.9,,8.9,2.4,27.32,79.5,0.233333,14,2007
07/04/2007,1200,1.2,,23.3,,,,,,14,2007
08/04/2007,0,,32.6,,9.7,2.8,27.04,80,1.666667,15,2007
08/04/2007,1200,0,,22,,,,,,15,2007
09/04/2007,0,,32.8,,7.2,2.9,26.94,91.75,2.6,15,2007
09/04/2007,1200,0,,23.1,,,,,,15,2007
10/04/2007,0,,27.8,,0.8,1.7,25.44,91.75,1.166667,15,2007
10/04/2007,1200,19.8,27.8,23.2,,,,,,15,2007
11/04/2007,0,,31.8,,3.8,0.8,26.42,79.75,2.266667,15,2007
11/04/2007,1200,10.9,,23,,,,,,15,2007
12/04/2007,0,,32,,7.3,2.4,27.16,74.5,1.833333,15,2007
12/04/2007,1200,0,,24,,,,,,15,2007
13/04/2007,0,,33,,7.4,3,26.64,80.25,1.066667,15,2007
13/04/2007,1200,0,,22,,,,,,15,2007
14/04/2007,0,,32.4,,7.3,2,26.96,72.75,2,15,2007
14/04/2007,1200,5.6,,24,,,,,,15,2007
15/04/2007,0,,33.2,,6.3,3.8,26.7,82.5,0.5,16,2007
15/04/2007,1200,0,,22.3,,,,,,16,2007
16/04/2007,0,,31,,3.1,2.4,26,92.75,0.233333,16,2007
16/04/2007,1200,12.4,,23.4,,,,,,16,2007
17/04/2007,0,,30,23.1,2.1,0.9,25.74,94.75,0.166667,16,2007
17/04/2007,1200,4.8,,23.1,,,,,,16,2007
18/04/2007,0,,26.5,,0,0.3,24.2,93.75,0.333333,16,2007
18/04/2007,1200,56.6,,20.9,,,,,,16,2007
19/04/2007,0,,31,,7.4,0.1,26.14,85,0.133333,16,2007
19/04/2007,1200,3,,22.7,,,,,,16,2007
20/04/2007,0,,32.2,,8.4,2.4,26.96,84.5,1,16,2007
20/04/2007,1200,3.8,,24,,,,,,16,2007
21/04/2007,0,,27.8,,0.2,2.4,25.44,94.25,0.233333,16,2007
21/04/2007,1200,0,,23.7,,,,,,16,2007
22/04/2007,0,,32.4,,7.2,0.7,26.18,82,2.5,17,2007
22/04/2007,1200,16.3,,22.1,,,,,,17,2007
23/04/2007,0,,29.8,,0.8,2,25.96,89,0.4,17,2007
23/04/2007,1200,0.5,,24,,,,,,17,2007
24/04/2007,0,,30.1,22.5,3,0.9,25.04,95.75,0.4,17,2007
24/04/2007,1200,0.3,,22.5,,,,,,17,2007
25/04/2007,0,,29.7,,3.4,0.6,25.06,92.25,1,17,2007
25/04/2007,1200,18.4,,22,,,,,,17,2007
26/04/2007,0,,31.4,,7.4,1,25.62,89.25,0.5,17,2007
26/04/2007,1200,1.7,,22.4,,,,,,17,2007
27/04/2007,0,,31.8,,7.5,1.4,25.72,87,0.733333,17,2007
27/04/2007,1200,22.2,,22.4,,,,,,17,2007
28/04/2007,0,,31.2,22,7.3,1.7,25.44,93,1.833333,17,2007
28/04/2007,1200,0,,22,,,,,,17,2007
29/04/2007,0,,31.7,,5.5,1.2,25.98,83.75,0.1,18,2007
29/04/2007,1200,12,,22.2,,,,,,18,2007
30/04/2007,0,,29.8,,5.5,1.8,25.54,92.75,0.5,18,2007
30/04/2007,1200,0,,21.9,,,,,,18,2007
01/05/2007,0,,31.8,,7.2,0.9,26.08,87,0.833333,18,2007
01/05/2007,1200,18.6,,23,,,,,,18,2007
02/05/2007,0,,31.4,,8.1,1.7,25.92,78.25,1,18,2007
02/05/2007,1200,8.9,,22.4,,,,,,18,2007
03/05/2007,0,,30.4,,6,2.1,26.16,90,0,18,2007
03/05/2007,1200,0,,22.9,,,,,,18,2007
04/05/2007,0,,32.2,,9.4,3.3,26.12,77.5,7.433333,18,2007
04/05/2007,1200,5.2,,21.6,,,,,,18,2007
05/05/2007,0,,31.6,,7.3,2,26.18,83,0.333333,18,2007
05/05/2007,1200,0,,22.9,,,,,,18,2007
06/05/2007,0,,29.8,,2,2.5,25.8,82,1.933333,19,2007
06/05/2007,1200,0.3,,23.4,,,,,,19,2007
07/05/2007,0,,31.8,,8.2,1.9,26.04,82,0.833333,19,2007
07/05/2007,1200,0,,21.8,,,,,,19,2007
08/05/2007,0,,32.1,,5.7,2.5,26.5,84.5,0.4,19,2007
08/05/2007,1200,1.3,,23,,,,,,19,2007
09/05/2007,0,,32.3,,6.2,1.6,26.54,82.5,0.966667,19,2007
09/05/2007,1200,0,,23,,,,,,19,2007
10/05/2007,0,,33,,10.4,2.2,26.4,76.5,0.5,19,2007
10/05/2007,1200,0,,21.3,,,,,,19,2007
11/05/2007,0,,32.2,,9.1,3.1,26.44,75.75,0.833333,19,2007
11/05/2007,1200,0,,21,,,,,,19,2007
12/05/2007,0,,31,,5.9,2.5,26.32,87.5,2.5,19,2007
12/05/2007,1200,0,,24,,,,,,19,2007
13/05/2007,0,,30.8,,6.1,1.9,25.82,85.5,0.5,20,2007
13/05/2007,1200,1.8,,21.9,,,,,,20,2007
14/05/2007,0,,29.8,,6.3,1.7,25.74,84.25,1.333333,20,2007
14/05/2007,1200,0,,23.8,,,,,,20,2007
15/05/2007,0,,32.8,,9.8,1.1,25.66,80,0.333333,20,2007
15/05/2007,1200,5,,20,,,,,,20,2007
16/05/2007,0,,32.6,,10.8,2.3,26,68.75,1.166667,20,2007
16/05/2007,1200,0,,21,,,,,,20,2007
17/05/2007,0,,32.8,,10.2,2.8,25.86,78.25,0.433333,20,2007
17/05/2007,1200,0,,20.8,,,,,,20,2007
18/05/2007,0,,33,,7.7,3.9,26.28,77,1.366667,20,2007
18/05/2007,1200,0,,21.8,,,,,,20,2007
19/05/2007,0,,33.8,,10,3.2,26.52,76,0.433333,20,2007
19/05/2007,1200,0,,20.9,,,,,,20,2007
20/05/2007,0,,32.6,,5.9,2.8,26.1,82.5,1,21,2007
20/05/2007,1200,0,,22.3,,,,,,21,2007
21/05/2007,0,,33.6,,8.2,2.2,26.3,77,0.666667,21,2007
21/05/2007,1200,0,,21,,,,,,21,2007
22/05/2007,0,,31.7,,4.2,2,25.98,82.25,0.433333,21,2007
22/05/2007,1200,3.4,,22,,,,,,21,2007
23/05/2007,0,,33.8,,10,1.7,27.3,73.25,1.333333,21,2007
23/05/2007,1200,4.3,,22.4,,,,,,21,2007
24/05/2007,0,,34,,8.6,2.6,26.22,82.25,0.933333,21,2007
24/05/2007,1200,0,,22.9,,,,,,21,2007
25/05/2007,0,,33.4,,8.9,1.6,26.88,81.5,1.666667,21,2007
25/05/2007,1200,12.8,,22,,,,,,21,2007
26/05/2007,0,,32.9,,10,2.5,26.72,76,0.333333,21,2007
26/05/2007,1200,0,,22.8,,,,,,21,2007
27/05/2007,0,,32.8,,9.4,2.8,26.12,77.5,0.733333,22,2007
27/05/2007,1200,0,,20.7,,,,,,22,2007
28/05/2007,0,,33.2,,10,3.4,25.8,73.5,1,22,2007
28/05/2007,1200,0,,20,,,,,,22,2007
29/05/2007,0,,34,,10.1,3,26.8,70.25,0.666667,22,2007
29/05/2007,1200,0,,21,,,,,,22,2007
30/05/2007,0,,34.4,,9.9,3.5,26.6,69.25,1,22,2007
30/05/2007,1200,0,,21.2,,,,,,22,2007
31/05/2007,0,,35.1,,9.6,3.8,27.12,79.25,0.338147,22,2007
31/05/2007,1200,0,,21.6,,,,,,22,2007
01/06/2007,0,,32.6,,8.7,2.1,26.46,72.5,1.5,22,2007
01/06/2007,1200,5.3,,22.1,,,,,,22,2007
02/06/2007,0,,33.6,,10.3,4.6,25.76,67,0.666667,22,2007
02/06/2007,1200,0,,21.2,,,,,,22,2007
03/06/2007,0,,33,,7.4,4.5,26.04,81,2.166667,23,2007
03/06/2007,1200,0,,22,,,,,,23,2007
04/06/2007,0,,35.5,,8.7,2.6,27.18,67.25,0.933333,23,2007
04/06/2007,1200,0,,20.4,,,,,,23,2007
05/06/2007,0,,34.3,,7.5,3.5,26.52,80.25,1.5,23,2007
05/06/2007,1200,0,,23.1,,,,,,23,2007
06/06/2007,0,,31.8,,5.9,2.8,26.04,78.75,0.833333,23,2007
06/06/2007,1200,3,,21.2,,,,,,23,2007
07/06/2007,0,,34.4,,9.3,2.5,26.38,74.5,0.433333,23,2007
07/06/2007,1200,2.8,,21.3,,,,,,23,2007
08/06/2007,0,,34.6,,10,3.7,27.04,71,0.833333,23,2007
08/06/2007,1200,0,,21.8,,,,,,23,2007
09/06/2007,0,,31.4,,2.9,4.3,25.68,88.5,1.5,23,2007
09/06/2007,1200,0,,22.4,,,,,,23,2007
10/06/2007,0,,33,,6.6,2.5,26.26,69.75,0.833333,24,2007
10/06/2007,1200,0.2,,21.8,,,,,,24,2007
11/06/2007,0,,34,,7.6,3.9,26.16,65.25,1,24,2007
11/06/2007,1200,0,,20.8,,,,,,24,2007
12/06/2007,0,,33.3,,7.7,4.3,25.34,74,0.833333,24,2007
12/06/2007,1200,0,,19,,,,,,24,2007
13/06/2007,0,,32.2,,6,5.5,25.64,70.25,1.5,24,2007
13/06/2007,1200,0,,21,,,,,,24,2007
14/06/2007,0,,34,,9.4,3.8,26.6,71.25,0.8,24,2007
14/06/2007,1200,0,,21.7,,,,,,24,2007
15/06/2007,0,,34.2,,10.2,5.2,26.08,73.25,1.833333,24,2007
15/06/2007,1200,0,,20,,,,,,24,2007
16/06/2007,0,,34.8,,10.3,6.4,26.34,60.5,0.666667,24,2007
16/06/2007,1200,0,,20.2,,,,,,24,2007
17/06/2007,0,,34.2,,5,5.6,26.22,65.5,1.666667,25,2007
17/06/2007,1200,0,,19.9,,,,,,25,2007
18/06/2007,0,,33.8,,8.7,4.7,26.76,73,1.5,25,2007
18/06/2007,1200,9.8,,23,,,,,,25,2007
19/06/2007,0,,34.4,,9.1,4.5,26.68,66,1.333333,25,2007
19/06/2007,1200,0,,21,,,,,,25,2007
20/06/2007,0,,34.8,,9.4,4.7,26.32,56,1.166667,25,2007
20/06/2007,1200,0,,20,,,,,,25,2007
