city,year,weekofyear,Infectados,Var_Alvo
sb,2016,42,1,1
sb,2016,43,1,1
sb,2016,44,1,1
sb,2016,45,3,3
sb,2016,46,0,0
sb,2016,47,2,2
sb,2016,48,1,1
sb,2016,49,4,4
sb,2016,50,0,0
sb,2016,51,0,0
sb,2016,52,0,0
sb,2017,1,0,0
sb,2017,2,0,0
sb,2017,3,0,0
sb,2017,4,0,0
sb,2017,5,1,1
sb,2017,6,0,0
sb,2017,7,0,0
sb,2017,8,1,1
sb,2017,9,0,0
sb,2017,10,0,0
sb,2017,11,0,0
sb,2017,12,0,0
sb,2017,13,0,0
sb,2017,14,0,0
sb,2017,15,1,1
sb,2017,16,1,1
sb,2017,17,1,1
sb,2017,18,0,0
sb,2017,19,0,0
sb,2017,20,1,1
sb,2017,21,0,0
sb,2017,22,1,1
sb,2017,23,0,0
sb,2017,24,0,0
sb,2017,25,0,0
sb,2017,26,1,1
sb,2017,27,0,0
sb,2017,28,1,1
sb,2017,29,0,0
sb,2017,30,0,0
sb,2017,31,0,0
sb,2017,32,0,0
sb,2017,33,0,0
sb,2017,34,0,0
sb,2017,35,0,0
sb,2017,36,0,0
sb,2017,37,0,0
sb,2017,38,0,0
sb,2017,39,0,0
sb,2017,40,0,0
sb,2017,41,0,0
sb,2017,42,0,0
sb,2017,43,0,0
sb,2017,44,0,0
sb,2017,45,0,0
sb,2017,46,0,0
sb,2017,47,0,0
sb,2017,48,0,0
sb,2017,49,0,0
sb,2017,50,1,1
sb,2017,51,0,0
sb,2017,52,0,0
sb,2018,1,0,0
sb,2018,2,0,0
sb,2018,3,1,1
sb,2018,4,0,0
sb,2018,5,0,0
sb,2018,6,0,0
sb,2018,7,0,0
sb,2018,8,0,0
sb,2018,9,1,1
sb,2018,10,0,0
sb,2018,11,0,0
sb,2018,12,0,0
sb,2018,13,0,0
sb,2018,14,0,0
sb,2018,15,0,0
sb,2018,16,0,0
sb,2018,17,0,0
sb,2018,18,0,0
sb,2018,19,0,0
sb,2018,20,0,0
sb,2018,21,0,0
sb,2018,22,0,0
sb,2018,23,0,0
sb,2018,24,0,0
sb,2018,25,0,0
sb,2018,26,0,0
sb,2018,27,0,0
sb,2018,28,0,0
sb,2018,29,0,0
sb,2018,30,0,0
sb,2018,31,0,0
sb,2018,32,0,0
sb,2018,33,0,0
sb,2018,34,0,0
sb,2018,35,0,0
