city,year,weekofyear,Infectados
sb,2017,22,1
sb,2017,23,1
sb,2017,24,1
sb,2017,25,1
sb,2017,26,0
sb,2017,27,0
sb,2017,28,1
sb,2017,29,1
sb,2017,30,1
sb,2017,31,1
sb,2017,32,0
sb,2017,33,0
sb,2017,34,0
sb,2017,35,0
sb,2017,36,0
sb,2017,37,0
sb,2017,38,0
sb,2017,39,0
sb,2017,40,0
sb,2017,41,0
sb,2017,42,0
sb,2017,43,0
sb,2017,44,0
sb,2017,45,0
sb,2017,46,0
sb,2017,47,0
sb,2017,48,0
sb,2017,49,0
sb,2017,50,0
sb,2017,51,0
sb,2017,52,1
sb,2018,1,1
sb,2018,2,0
sb,2018,3,0
sb,2018,4,0
sb,2018,5,1
sb,2018,6,1
sb,2018,7,0
sb,2018,8,0
sb,2018,9,0
sb,2018,10,0
sb,2018,11,1
sb,2018,12,1
sb,2018,13,0
sb,2018,14,0
sb,2018,15,0
sb,2018,16,0
sb,2018,17,0
sb,2018,18,0
sb,2018,19,0
sb,2018,20,0
sb,2018,21,0
sb,2018,22,0
sb,2018,23,0
sb,2018,24,0
sb,2018,25,0
sb,2018,26,0
sb,2018,27,0
sb,2018,28,0
sb,2018,29,0
sb,2018,30,0
sb,2018,31,0
sb,2018,32,0
sb,2018,33,0
sb,2018,34,0
sb,2018,35,0
sb,2018,36,0
sb,2018,37,0
sb,2018,38,1
sb,2018,39,1
sb,2018,40,0
sb,2018,41,0
sb,2018,42,0
sb,2018,43,0
sb,2018,44,0
sb,2018,45,0
sb,2018,46,0
sb,2018,47,1
sb,2018,48,1
sb,2018,49,0
sb,2018,50,0
sb,2018,51,1
sb,2018,52,1
sb,2019,1,1
sb,2019,2,1
sb,2019,3,0
sb,2019,4,0
sb,2019,5,0
sb,2019,6,1
sb,2019,7,1
sb,2019,8,0
sb,2019,9,0
sb,2019,10,1
sb,2019,11,1
sb,2019,12,0
sb,2019,13,1
sb,2019,14,1
sb,2019,15,1
sb,2019,16,1
sb,2019,17,2
sb,2019,18,2
sb,2019,19,0
sb,2019,20,2
sb,2019,21,4
sb,2019,22,2
sb,2019,23,2
sb,2019,24,4
sb,2019,25,2
sb,2019,26,0
sb,2019,27,2
sb,2019,28,2
sb,2019,29,1
sb,2019,30,2
sb,2019,31,14
sb,2019,32,29
sb,2019,33,29
sb,2019,34,20
sb,2019,35,20
sb,2019,36,19
sb,2019,37,9
sb,2019,38,5
sb,2019,39,2
sb,2019,40,2
sb,2019,41,2
sb,2019,42,0
sb,2019,43,0
sb,2019,44,0
sb,2019,45,0
sb,2019,46,0
sb,2019,47,0
sb,2019,48,0
sb,2019,49,0
sb,2019,50,0
sb,2019,51,0
sb,2019,52,0
