Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
37,2010,0,260.2,152.9,72.3,96,197.76,425.75,19.5
38,2010,0,263.9,152.2,73.5,106.6,201.02,399.75,17.733334
39,2010,0,263.1,151.8,73.5,99,204.4,355,21.500001
40,2010,0,265.9,157.4,74.4,104.1,200.66,380.75,20.399999
41,2010,0,270.1,153.3,73.4,99.4,200.96,361,19.166667
42,2010,0,262.3,156.8,65.1,100,201.16,359.25,18.166667
43,2010,9.9,256.5,161.4,51.1,82.9,197.9,424.75,15.266668
44,2010,0,260.9,165.6,58.9,73.9,200.54,412.75,10.8
45,2010,0,266.3,160.7,72.9,95.3,203.84,366.25,23.999999
46,2010,0,268.8,156.3,74.2,100.2,205.88,356,17.666666
47,2010,0,260.4,165,57.7,89.3,202.86,399,20.733333
48,2010,0,262.3,158.3,63.9,91.1,201.36,385.25,21.900001
49,2010,0,261,164.3,59.2,93.5,204.8,404,23.75
50,2010,0,255.5,163.2,54.1,81.5,200.54,458,25.75
51,2010,25.2,230.4,158.9,20,43.4,186.44,565,12.5
52,2010,34,247.3,157.4,57,64,195.42,495,19.25
53,2010,0,211.6,138.9,54.9,46.5,168.06,415.75,17.25
1,2011,0,35.9,20.8,10.9,11.2,28.08,52.75,3
2,2011,54.1,234.6,160.7,47.2,51,189.8,493.5,13.9
3,2011,44,219,152.7,40.8,30.6,181.04,545.5,9.266667
4,2011,30.5,209,153.3,18.8,20.4,173.88,591,10.733333
5,2011,57,212,151.1,38,18.5,176.9,588,7.900001
6,2011,28.4,227.4,159.8,57,21.5,185,550,13.433333
7,2011,20.3,225.3,156.7,47.5,18.8,185.26,535.75,8.133333
8,2011,31.4,218.4,157.8,34.3,17.6,179.22,578.75,8.633334
9,2011,44.5,219.4,154.6,43.2,13.3,177.9,630.25,7.233332
10,2011,70.4,215.9,155.6,43.1,14,176.96,589.75,6.333333
11,2011,92.7,213.3,154.2,35,8.3,177.88,610.25,3.766666
12,2011,14.2,218.8,153.5,46.7,6.8,178.74,596,7.166667
13,2011,3.8,224,155.1,54.6,7.5,182.12,574,7.966667
14,2011,54.1,219.3,155.6,40.3,5.3,180.2,602.75,7.600001
15,2011,98.3,220.1,152.3,49.6,4.1,179.06,577.75,6.333333
16,2011,169.4,209.4,154.1,24.5,5.4,174.12,610.5,8.800001
17,2011,42.4,216.1,155.3,45,12.5,178.82,602.25,5.699999
18,2011,21,216.4,158.5,41.8,15.2,178.24,572,7.266667
19,2011,14.2,212.8,160.8,31.2,13.1,181.94,592.75,6.766666
20,2011,49.8,216.8,160.3,41.2,18.5,182.24,555.75,7.100001
21,2011,44.8,216.9,157.8,47.8,17.5,181.02,577.5,4.366667
22,2011,4.7,215.5,158,53,20.4,181.42,554.5,7.666667
23,2011,26,215.3,146.3,51.3,18.8,176.98,541.75,3.666666
24,2011,4.9,220.3,150.3,57.1,24,179.18,547.25,9.233333
25,2011,0.2,224.2,143.9,59.5,37.5,180.2,521.25,9.033332
26,2011,28.9,219.4,149.5,46.5,25.4,179.34,543.5,6.666666
27,2011,1.5,225.8,148.4,59.4,32.1,180.82,532.75,6.883333
28,2011,19.9,214.2,151.3,43.2,36.1,178.3,595,6.4
29,2011,30.8,213.7,150.3,43.5,34.7,177.06,557.92,3.8
30,2011,0,230,146.2,61,36.9,183.48,510.92,4.05
31,2011,0,231.5,141.2,58.4,61.6,184.18,477.92,6.25
32,2011,0,243.9,143.6,61.2,57.3,186.9,452.75,8.866665
33,2011,0.4,246.5,147.4,69.6,68.5,191.5,420,14.299999
34,2011,0,249.1,143.3,67.9,76.6,190.6,392.75,12.066666
35,2011,6.7,240.8,150.5,60.4,79.8,190.06,414.75,17.333334
36,2011,0,251.2,144.9,66,84.4,191.2,399.75,17.933333
37,2011,0,253.8,143.7,68.7,80.42,193.92,455,22.666667
38,2011,0,254.5,149.6,66.5,86.9,196.62,464,22.75
39,2011,0,260.2,149.3,72.2,90.5,197.54,468,22.75
40,2011,0,261,152.8,68.9,88.6,198.52,481.75,27.25
41,2011,0,262,155.5,69,98.5,199.22,398.25,22
42,2011,0,256.4,160.6,56,84.3,197.1,419.75,14.233334
43,2011,41,243.8,160,36.4,53.7,191.46,483.75,12.833334
44,2011,0,251.3,156.3,67.4,79.5,195.66,408.25,15.433333
45,2011,0.2,244.6,151.8,56.2,64.6,192.62,437,17.5
46,2011,0,256.7,151.4,67,84.3,197.36,383.75,17.9
47,2011,0,257.8,147.9,70.4,84.8,196.46,388.75,21.233333
48,2011,0,255.8,151,56.5,81.7,196.58,404.25,15.466667
49,2011,0,257.1,156.8,58.9,73,196.36,440.75,16.933333
50,2011,0,256.1,147.4,67.8,88.2,197.52,458,30.75
51,2011,0,256.5,152.2,66.5,82.4,196.22,478.92,21
52,2011,0,259.7,161.5,58.7,86.3,200.48,492,30.25
53,2011,0,258.7,159.9,60.1,83.4,200.6,478.25,21.333333
1,2012,0,255.9,161.5,61.8,87.6,200,415.75,21.999999
2,2012,0,259.6,157.8,65.5,96.7,201.58,391.25,18.5
3,2012,95.8,237.7,160.3,31.9,55.7,189.52,492.75,13.166667
4,2012,9.6,232.9,159.2,34.9,44.1,188.52,494.5,8.466667
5,2012,0,244.7,156.7,69.2,69.5,194.54,409.5,18.333332
6,2012,1.8,248.9,159,48.8,81.8,195.9,417,16.8
7,2012,18.4,232.5,159.9,27.8,47.1,185.82,512.5,13.100001
8,2012,68.5,234.6,151.5,55.2,33.2,182.6,544.25,9.419252
9,2012,6.7,226.4,152,55.9,35.6,183.3,524.25,8.333334
10,2012,8.6,234.4,157.2,56.8,45.9,188,520.5,11.681106
11,2012,11.1,235.6,158.9,42.6,35.6,188.6,496.5,10.733334
12,2012,57.8,230.3,153.6,40.4,41,185.18,564.75,6.933333
13,2012,113,222.5,157.2,32.5,24.8,182.6,555.75,13.633334
14,2012,11,231.4,157.4,49.3,26.7,188.08,554.5,6.900001
15,2012,0,238.8,157.1,54.1,42.9,191.12,464,8.533334
16,2012,34.8,223,157.7,32.3,21.1,181.98,598,6.066667
17,2012,4,237.6,156.5,55.7,29.5,189.4,504.25,10.466668
18,2012,0,245.3,150.6,62.3,53.9,192,447,11.533334
19,2012,0,250.7,155.2,53.8,62.2,195.16,420.75,16.433333
20,2012,1.8,253.2,159.9,61.6,58.9,195.76,424.75,18.066667
21,2012,5.3,241.1,149.3,52.5,58.8,188.5,460.25,7.100001
22,2012,0,250.8,151,59,50.8,194.82,396.5,12.699999
23,2012,0,245.8,151,43.7,66,193.7,434.25,18.033333
24,2012,0,252.1,148.1,57.5,77.5,194.9,396.5,15.566666
25,2012,0.1,250.5,154,52.8,64.1,192.74,454,14.666666
26,2012,0,249.5,149.3,60.2,69.6,194.64,400.25,15.2
27,2012,0,245.2,154.2,47.8,85.8,195.3,424,6
28,2012,0,252.7,154.7,56.1,81.6,195.34,463,7.65
29,2012,0,248.7,150.1,50.1,78.7,192.6,462,8.55
30,2012,0,252.4,149.9,69.6,93.3,197.5,403,14.1
31,2012,0,251.6,140.9,73.1,97.4,194.24,358.5,11.5
32,2012,0,251.6,159.1,60.1,78.7,196.8,405.75,21.166666
33,2012,0,252.2,149.1,61.8,99.5,197.32,378,18.9
34,2012,0,254.1,145.2,74.3,102.3,196.68,358.75,20.833333
35,2012,0,256.8,148,70.3,95.5,194.82,401.25,19.233333
36,2012,0,254.4,149.4,75.2,101.4,196.4,448,30.75
37,2012,0,257.4,149.6,69.5,93.6,196.8,470,27.25
38,2012,0,257.2,155,68.1,96.6,199.2,466,22.75
39,2012,0,257,157.2,70.6,93.9,198.48,476,20.25
40,2012,0,259.53,155.51,72.3,79.8,198.02,436.92,24.706667
41,2012,0,259.5,159.6,62.6,90.6,199.84,401.75,20.233334
42,2012,0,256.4,159.9,61.7,97.8,198.86,395.5,18.133334
43,2012,1,263.2,155.7,66.3,98.4,198.78,402,16.833333
44,2012,0,258,156.8,63.8,89.6,196.48,436.5,17.438148
45,2012,0,257.9,158.8,69.8,96.7,198.34,405.25,15.166667
46,2012,0,262.9,156.4,69.7,83.7,198.4,392,16.2
47,2012,0,262.8,160.8,67.9,98.9,201.58,381,11.933332
48,2012,0,251.4,164.9,52.9,84.1,200.3,423.5,14.866666
49,2012,0,256.2,160.2,58.6,85.4,200,490,28
50,2012,0,261.1,161.6,63.9,87.7,202.66,473,25.25
51,2012,0,258.9,166.6,57.4,84.4,203.94,480,20
52,2012,0,260.8,166.1,55.8,84.2,203.5,491,17.5
53,2012,0,74.2,48.3,12.9,22.5,58.38,126.25,4
1,2013,73.9,167,114.7,12.9,34.6,134.36,368.5,7.433333
2,2013,12.3,243.6,165.6,49.1,60.9,197.24,461.25,12.4
3,2013,10.6,242.9,164,50,66.72,196.7,481.75,8.866667
4,2013,4.8,245.9,161.1,47.8,47.4,195.42,505.5,11
5,2013,0,258.3,159.7,63.1,82.7,201.16,417,14.566666
6,2013,1.2,256.6,162.4,54.1,82.7,201.08,430.75,15.966667
7,2013,50.4,241.5,169,45.8,64.7,196.88,489.5,11.400001
8,2013,65,229.2,155.7,50.8,33.2,187.76,528.75,9.033333
9,2013,0,246.9,160.8,71.4,73.4,199.7,430,13.066667
10,2013,0,253,164.8,55.9,83.4,202.78,428.25,11.966665
11,2013,0,259.5,168.4,55.5,71.1,204.68,433.25,14.7
12,2013,24.5,242.4,165.3,44,54.32,195.92,483.75,10.166667
13,2013,85.8,227.6,158.3,49.8,26.2,186.52,537,7.933334
14,2013,22.5,229.9,159.8,51.1,30.1,190.04,515.25,10.433333
15,2013,0,238.7,162.3,61.2,39,193.72,475.5,10.633333
16,2013,32.6,229.8,160,44,37.8,187.42,497,7.500001
17,2013,17.2,226.7,159,49.6,24.2,185.8,530.25,6
18,2013,46,224.5,155.9,46.5,25.8,183.52,560,4.466667
19,2013,5.7,227.5,158.2,53.2,25.2,186.48,538,6.533334
20,2013,51.8,223,156.9,42.4,27.7,184.08,533,5.100001
21,2013,5.9,221.5,157.7,41,16.5,182.3,564,5.633333
22,2013,0,231.6,142.6,68.8,41.2,182,497.5,7.566667
23,2013,4.1,234.6,147.7,66.2,40,185.5,487,7.099999
24,2013,27.6,230.8,158,47.1,48.8,187.04,487.5,6.933333
25,2013,27.7,229.5,146.7,52.6,44.1,182.4,506.75,8.266667
26,2013,0.8,230.5,152.6,52.6,36.9,186.78,490.25,6.199999
27,2013,18,226.1,150.7,48.4,42.4,182.82,535,3.566667
28,2013,5.3,232.3,146.9,57.2,49.7,184.58,514.92,6
29,2013,24.4,230.4,144.4,56.1,46.1,182.18,534,5.1
30,2013,3.7,237.7,147.5,55.7,57.3,188.04,507,8.25
31,2013,0,247.8,138.7,73.6,76.6,189.66,394.75,7.066666
32,2013,0,249.6,143.2,69.9,85,191.7,373.25,9.833334
33,2013,0,254.3,155.3,67,83.8,196.04,408.75,13.166668
34,2013,0,254.6,155,70.3,88.7,197.06,396.5,13.833333
35,2013,0,256.3,158.9,61.2,91.8,199.52,406.5,12.566667
36,2013,0,255.2,158.2,67.2,94.8,198.06,374.75,13.1
37,2013,0,258.6,159.3,68.4,88.8,198.6,408.25,14
38,2013,0,258.5,158.6,74.3,94.14,200.92,362,17.399999
39,2013,0,259.7,155.3,72.5,93.8,197.64,419.25,13.899999
40,2013,0,262.1,151.7,73,97.2,197.9,380.25,12.333333
41,2013,0,265,158.3,66.9,101,202.18,371.5,13.133333
42,2013,0,258.8,157.5,72.2,106.7,200.74,370.5,16
43,2013,0.7,262,156.7,68.5,98.7,200.4,412.5,13.666667
44,2013,0,257.1,158.2,69,92.8,198.62,394.5,16.4
